日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
108/01/02,71 小番茄 ㄧ般,10.0,10.0,10.0,10.0,120
108/01/23,71 小番茄 ㄧ般,20.0,20.0,20.0,20.0,50
108/04/14,71 小番茄 ㄧ般,20.0,14.1,10.0,14.4,360
108/04/18,71 小番茄 ㄧ般,20.0,15.0,10.0,15.0,460
108/04/20,71 小番茄 ㄧ般,15.0,11.3,10.0,11.8,280
108/04/21,71 小番茄 ㄧ般,20.0,14.0,10.0,14.4,400
108/05/01,71 小番茄 ㄧ般,15.0,11.5,10.0,11.9,320
108/05/03,71 小番茄 ㄧ般,20.0,20.0,20.0,20.0,330
108/05/04,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,240
108/05/05,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,22
108/05/09,71 小番茄 ㄧ般,20.0,20.0,20.0,20.0,150
108/05/10,71 小番茄 ㄧ般,20.0,20.0,20.0,20.0,180
108/05/17,71 小番茄 ㄧ般,15.0,15.0,15.0,15.0,240
108/05/25,71 小番茄 ㄧ般,20.0,20.0,20.0,20.0,210
108/05/26,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,160
108/11/08,71 小番茄 ㄧ般,15.0,15.0,15.0,15.0,24
108/11/10,71 小番茄 ㄧ般,15.0,15.0,15.0,15.0,30
108/11/15,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,90
108/11/16,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,30
108/11/19,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,50
108/11/20,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,90
108/11/21,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,40
108/11/22,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,50
108/11/23,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,70
108/11/24,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,80
108/11/27,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,80
108/11/28,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,60
108/12/01,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,60
108/12/03,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,100
108/12/04,71 小番茄 ㄧ般,29.6,25.0,25.0,25.9,110
108/12/05,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,80
108/12/06,71 小番茄 ㄧ般,20.0,20.0,20.0,20.0,30
108/12/07,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,30
108/12/08,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,20
108/12/10,71 小番茄 ㄧ般,25.0,25.0,22.2,24.4,90
108/12/11,71 小番茄 ㄧ般,25.0,25.0,23.1,24.6,130
108/12/12,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,100
108/12/13,71 小番茄 ㄧ般,20.0,20.0,20.0,20.0,30
108/12/17,71 小番茄 ㄧ般,20.0,20.0,20.0,20.0,20
108/12/19,71 小番茄 ㄧ般,25.0,25.0,25.0,25.0,70
108/12/20,71 小番茄 ㄧ般,25.0,25.0,22.5,24.5,100
108/12/25,71 小番茄 ㄧ般,20.0,20.0,20.0,20.0,160
