日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
103/01/01,A1 香蕉,61.0,51.1,38.0,50.5,20760
103/01/02,A1 香蕉,64.3,56.2,47.0,56.0,16090
103/01/03,A1 香蕉,69.0,56.5,46.4,57.0,15423
103/01/04,A1 香蕉,68.8,56.2,39.5,55.4,9478
103/01/05,A1 香蕉,72.2,56.3,45.9,57.4,13685
103/01/07,A1 香蕉,64.1,54.1,44.5,54.2,12132
103/01/08,A1 香蕉,68.0,55.7,42.9,55.6,13436
103/01/09,A1 香蕉,66.0,53.5,40.8,53.4,13514
103/01/10,A1 香蕉,59.0,45.8,36.3,46.5,13440
103/01/11,A1 香蕉,60.5,48.1,35.0,48.0,10200
103/01/12,A1 香蕉,67.0,55.6,42.8,55.3,10159
103/01/14,A1 香蕉,65.5,54.5,43.4,54.5,15816
103/01/15,A1 香蕉,65.6,53.4,38.9,52.9,20185
103/01/16,A1 香蕉,65.0,53.2,42.2,53.4,18137
103/01/17,A1 香蕉,61.6,51.6,36.9,50.7,12815
103/01/18,A1 香蕉,66.0,56.4,43.8,55.8,11328
103/01/19,A1 香蕉,66.0,55.6,45.0,55.5,10740
103/01/21,A1 香蕉,64.0,51.7,39.9,51.8,12705
103/01/22,A1 香蕉,62.0,50.5,34.9,49.7,13236
103/01/23,A1 香蕉,60.0,47.5,33.8,47.2,15377
103/01/24,A1 香蕉,56.1,45.8,29.7,44.6,11033
103/01/25,A1 香蕉,52.6,45.3,34.0,44.5,11685
103/01/26,A1 香蕉,57.0,50.3,39.5,49.5,9850
103/01/27,A1 香蕉,56.6,47.7,38.5,47.6,9450
103/01/28,A1 香蕉,58.0,45.1,31.8,45.0,13620
103/01/29,A1 香蕉,56.0,43.8,34.2,44.3,13475
103/01/30,A1 香蕉,60.4,43.7,28.2,43.9,11740
103/02/05,A1 香蕉,52.3,41.4,27.0,40.7,19469
103/02/06,A1 香蕉,59.1,50.0,38.5,49.5,14358
103/02/07,A1 香蕉,58.0,51.4,42.2,50.9,14829
103/02/08,A1 香蕉,63.0,50.4,38.7,50.6,18540
103/02/09,A1 香蕉,60.0,49.2,39.2,49.4,12441
103/02/11,A1 香蕉,57.0,47.1,37.5,47.2,14695
103/02/12,A1 香蕉,56.0,44.8,34.8,45.0,16420
103/02/13,A1 香蕉,54.9,44.6,31.5,44.0,15855
103/02/14,A1 香蕉,55.0,43.7,20.0,41.2,23115
103/02/18,A1 香蕉,59.6,48.5,32.9,47.6,19930
103/02/19,A1 香蕉,60.0,49.5,41.3,50.0,16950
103/02/20,A1 香蕉,56.0,47.0,38.3,47.0,15310
103/02/21,A1 香蕉,52.3,45.5,32.0,44.2,14535
