日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
105/05/28,FB11 花椰菜 青梗 留梗柄,97.9,39.0,13.5,45.7,2197
105/05/29,FB11 花椰菜 青梗 留梗柄,81.5,32.8,14.4,38.9,3580
105/05/31,FB11 花椰菜 青梗 留梗柄,92.9,40.2,16.3,45.9,3658
105/06/01,FB11 花椰菜 青梗 留梗柄,134.7,64.3,17.2,69.0,1087
105/06/02,FB11 花椰菜 青梗 留梗柄,92.5,46.8,14.8,49.5,2277
105/06/03,FB11 花椰菜 青梗 留梗柄,126.4,77.7,51.4,82.2,1180
105/06/04,FB11 花椰菜 青梗 留梗柄,104.2,60.2,28.8,62.7,3301
105/06/05,FB11 花椰菜 青梗 留梗柄,83.0,45.2,25.9,48.9,3637
105/06/07,FB11 花椰菜 青梗 留梗柄,67.5,27.1,14.4,32.7,7085
105/06/08,FB11 花椰菜 青梗 留梗柄,77.5,18.8,5.0,27.8,4977
105/06/09,FB11 花椰菜 青梗 留梗柄,85.2,15.4,2.1,26.7,5138
105/06/12,FB11 花椰菜 青梗 留梗柄,57.4,13.7,2.9,20.3,7606
105/06/14,FB11 花椰菜 青梗 留梗柄,99.1,26.4,2.3,36.1,3726
105/06/15,FB11 花椰菜 青梗 留梗柄,87.8,26.5,5.6,34.6,3584
105/06/16,FB11 花椰菜 青梗 留梗柄,116.7,45.9,10.7,53.1,1884
105/06/17,FB11 花椰菜 青梗 留梗柄,91.1,51.7,18.6,53.0,2446
105/06/18,FB11 花椰菜 青梗 留梗柄,86.6,44.0,11.2,46.0,3257
105/06/19,FB11 花椰菜 青梗 留梗柄,88.9,41.7,8.9,44.6,3281
105/06/21,FB11 花椰菜 青梗 留梗柄,88.1,43.4,15.4,46.7,3927
105/06/22,FB11 花椰菜 青梗 留梗柄,95.8,39.8,15.2,46.1,2505
105/06/23,FB11 花椰菜 青梗 留梗柄,73.7,41.5,12.7,42.2,3497
105/06/24,FB11 花椰菜 青梗 留梗柄,86.3,51.5,22.1,52.6,2433
105/06/25,FB11 花椰菜 青梗 留梗柄,84.6,46.5,25.3,49.9,3034
105/06/26,FB11 花椰菜 青梗 留梗柄,82.8,39.6,18.3,44.0,3641
105/06/28,FB11 花椰菜 青梗 留梗柄,84.2,46.3,23.8,49.4,3666
105/06/29,FB11 花椰菜 青梗 留梗柄,82.7,46.2,20.3,48.3,2442
105/06/30,FB11 花椰菜 青梗 留梗柄,62.6,31.8,14.3,34.4,3720
105/07/01,FB11 花椰菜 青梗 留梗柄,101.1,34.0,18.4,44.3,1871
105/07/02,FB11 花椰菜 青梗 留梗柄,79.4,30.0,14.6,36.8,3791
105/07/03,FB11 花椰菜 青梗 留梗柄,84.5,30.4,11.8,37.5,3534
105/07/05,FB11 花椰菜 青梗 留梗柄,92.6,46.4,18.9,50.2,3304
105/07/06,FB11 花椰菜 青梗 留梗柄,103.8,54.9,26.6,59.0,2055
105/07/07,FB11 花椰菜 青梗 留梗柄,117.4,69.8,30.7,71.5,2222
105/07/08,FB11 花椰菜 青梗 留梗柄,96.7,57.0,28.3,59.2,2265
105/07/09,FB11 花椰菜 青梗 留梗柄,121.7,70.5,19.8,70.6,624
105/07/10,FB11 花椰菜 青梗 留梗柄,105.0,69.3,37.8,70.1,1660
105/07/12,FB11 花椰菜 青梗 留梗柄,75.7,55.6,33.9,55.3,3563
105/07/13,FB11 花椰菜 青梗 留梗柄,70.8,47.4,18.1,46.2,2612
105/07/14,FB11 花椰菜 青梗 留梗柄,62.1,44.5,29.0,44.9,4069
105/07/15,FB11 花椰菜 青梗 留梗柄,70.8,39.9,20.2,42.2,3241
105/07/16,FB11 花椰菜 青梗 留梗柄,67.5,39.0,17.0,40.3,4053
105/07/17,FB11 花椰菜 青梗 留梗柄,72.2,41.1,20.1,43.1,4813
105/07/19,FB11 花椰菜 青梗 留梗柄,53.8,35.2,17.5,35.4,9007
105/07/20,FB11 花椰菜 青梗 留梗柄,49.5,35.1,19.1,34.8,5635
105/07/21,FB11 花椰菜 青梗 留梗柄,49.6,35.0,22.4,35.4,6746
105/07/22,FB11 花椰菜 青梗 留梗柄,55.0,39.2,23.6,39.2,4807
105/07/23,FB11 花椰菜 青梗 留梗柄,60.8,40.9,24.6,41.6,5174
105/07/24,FB11 花椰菜 青梗 留梗柄,57.9,40.8,24.7,41.0,5736
105/07/26,FB11 花椰菜 青梗 留梗柄,68.3,42.3,27.4,44.5,6125
105/07/27,FB11 花椰菜 青梗 留梗柄,65.2,43.8,22.9,43.9,4033
105/07/28,FB11 花椰菜 青梗 留梗柄,61.8,47.5,27.0,46.3,3984
