日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
103/01/01,SC1 馬鈴薯 本產,25.4,22.1,12.5,20.9,14052
103/01/02,SC1 馬鈴薯 本產,25.2,21.2,11.8,20.1,11136
103/01/03,SC1 馬鈴薯 本產,32.2,21.3,13.6,21.9,12252
103/01/04,SC1 馬鈴薯 本產,25.0,21.3,11.0,20.0,9780
103/01/05,SC1 馬鈴薯 本產,25.0,21.4,9.6,19.8,10227
103/01/07,SC1 馬鈴薯 本產,23.3,20.5,11.4,19.2,14108
103/01/08,SC1 馬鈴薯 本產,22.6,20.3,10.5,18.8,11520
103/01/09,SC1 馬鈴薯 本產,22.9,20.3,10.4,18.8,10545
103/01/10,SC1 馬鈴薯 本產,22.5,19.8,8.2,18.0,9351
103/01/11,SC1 馬鈴薯 本產,22.4,20.2,11.9,19.0,11868
103/01/12,SC1 馬鈴薯 本產,22.1,19.7,10.3,18.3,14088
103/01/14,SC1 馬鈴薯 本產,22.1,19.9,10.3,18.4,15144
103/01/15,SC1 馬鈴薯 本產,21.3,18.7,12.7,18.0,12559
103/01/16,SC1 馬鈴薯 本產,21.3,19.1,14.7,18.7,9566
103/01/17,SC1 馬鈴薯 本產,21.0,19.7,13.9,18.8,10096
103/01/18,SC1 馬鈴薯 本產,21.0,18.6,12.4,17.8,9520
103/01/19,SC1 馬鈴薯 本產,21.0,18.8,14.2,18.3,8826
103/01/21,SC1 馬鈴薯 本產,20.5,18.6,14.1,18.1,13980
103/01/22,SC1 馬鈴薯 本產,21.3,18.9,14.8,18.5,12860
103/01/23,SC1 馬鈴薯 本產,21.3,18.3,13.8,18.0,9236
103/01/24,SC1 馬鈴薯 本產,21.2,18.2,13.3,17.8,13219
103/01/25,SC1 馬鈴薯 本產,21.1,18.2,13.6,17.9,14331
103/01/26,SC1 馬鈴薯 本產,21.2,18.1,13.2,17.7,14671
103/01/27,SC1 馬鈴薯 本產,21.0,18.6,14.0,18.1,14578
103/01/28,SC1 馬鈴薯 本產,20.0,17.9,14.3,17.6,11130
103/01/29,SC1 馬鈴薯 本產,19.0,18.1,14.8,17.6,7572
103/01/30,SC1 馬鈴薯 本產,18.9,11.6,9.0,12.5,2376
103/02/05,SC1 馬鈴薯 本產,20.4,17.4,12.4,17.0,9457
103/02/06,SC1 馬鈴薯 本產,20.0,17.0,11.0,16.4,8811
103/02/07,SC1 馬鈴薯 本產,22.0,19.8,14.0,19.1,7512
103/02/08,SC1 馬鈴薯 本產,22.1,19.1,14.4,18.8,7520
103/02/09,SC1 馬鈴薯 本產,22.1,18.6,11.2,17.8,8632
103/02/11,SC1 馬鈴薯 本產,22.0,18.9,13.7,18.5,11659
103/02/12,SC1 馬鈴薯 本產,22.0,18.9,14.1,18.5,12046
103/02/13,SC1 馬鈴薯 本產,22.3,18.7,13.7,18.4,12552
103/02/14,SC1 馬鈴薯 本產,22.0,19.5,14.3,19.0,12633
103/02/18,SC1 馬鈴薯 本產,22.0,19.7,13.7,18.9,17360
103/02/19,SC1 馬鈴薯 本產,22.7,19.8,14.6,19.3,14599
103/02/20,SC1 馬鈴薯 本產,22.0,19.4,13.8,18.8,11352
103/02/21,SC1 馬鈴薯 本產,22.0,19.5,15.5,19.2,9738
