日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
088/01/01,FB11 花椰菜 青梗 留梗柄,28.0,19.0,10.0,18.5,30632
088/01/02,FB11 花椰菜 青梗 留梗柄,30.0,22.0,12.0,21.2,26145
088/01/03,FB11 花椰菜 青梗 留梗柄,30.0,22.0,12.0,22.1,31598
088/01/05,FB11 花椰菜 青梗 留梗柄,30.0,23.0,13.0,21.6,38148
088/01/06,FB11 花椰菜 青梗 留梗柄,30.0,23.0,12.0,22.4,29549
088/01/07,FB11 花椰菜 青梗 留梗柄,32.0,25.0,17.0,23.0,28375
088/01/08,FB11 花椰菜 青梗 留梗柄,33.0,25.0,18.0,23.4,28724
088/01/09,FB11 花椰菜 青梗 留梗柄,32.0,24.0,16.0,22.8,28222
088/01/10,FB11 花椰菜 青梗 留梗柄,32.0,25.0,16.0,24.2,25381
088/01/11,FB11 花椰菜 青梗 留梗柄,30.0,24.0,18.0,23.1,36624
088/01/13,FB11 花椰菜 青梗 留梗柄,25.0,19.0,10.0,19.2,50370
088/01/14,FB11 花椰菜 青梗 留梗柄,27.0,20.0,13.0,19.8,32187
088/01/15,FB11 花椰菜 青梗 留梗柄,24.0,18.0,12.0,17.0,39100
088/01/16,FB11 花椰菜 青梗 留梗柄,24.0,18.0,10.0,17.3,34677
088/01/17,FB11 花椰菜 青梗 留梗柄,17.0,17.0,17.0,17.0,39517
088/01/18,FB11 花椰菜 青梗 留梗柄,26.0,19.0,12.0,17.4,47528
088/01/20,FB11 花椰菜 青梗 留梗柄,20.0,16.0,10.0,15.0,71730
088/01/22,FB11 花椰菜 青梗 留梗柄,12.0,9.0,6.0,8.3,67641
088/01/23,FB11 花椰菜 青梗 留梗柄,11.0,8.0,5.0,7.0,61851
088/01/24,FB11 花椰菜 青梗 留梗柄,8.0,6.0,3.0,5.7,73885
088/01/25,FB11 花椰菜 青梗 留梗柄,9.0,6.0,3.0,5.2,77081
088/01/27,FB11 花椰菜 青梗 留梗柄,9.0,6.0,3.0,5.4,68810
088/01/28,FB11 花椰菜 青梗 留梗柄,8.0,5.5,3.0,4.8,67342
088/01/29,FB11 花椰菜 青梗 留梗柄,8.0,5.5,3.0,4.5,48720
088/01/30,FB11 花椰菜 青梗 留梗柄,8.0,5.5,3.0,4.9,46127
088/01/31,FB11 花椰菜 青梗 留梗柄,4.7,4.7,4.7,4.7,51613
088/02/01,FB11 花椰菜 青梗 留梗柄,8.0,5.0,2.0,4.7,46930
088/02/03,FB11 花椰菜 青梗 留梗柄,10.0,6.5,3.0,5.3,48752
088/02/04,FB11 花椰菜 青梗 留梗柄,11.0,8.0,5.0,7.0,29507
088/02/05,FB11 花椰菜 青梗 留梗柄,13.0,9.0,5.0,8.3,23624
088/02/06,FB11 花椰菜 青梗 留梗柄,15.0,11.0,7.0,10.1,24050
088/02/07,FB11 花椰菜 青梗 留梗柄,15.0,11.0,7.0,11.0,24690
088/02/08,FB11 花椰菜 青梗 留梗柄,14.0,10.0,6.0,11.0,32016
088/02/09,FB11 花椰菜 青梗 留梗柄,14.0,11.0,7.0,10.9,36940
088/02/10,FB11 花椰菜 青梗 留梗柄,14.0,10.0,6.0,10.5,37298
088/02/11,FB11 花椰菜 青梗 留梗柄,14.0,10.0,6.0,9.3,48240
088/02/12,FB11 花椰菜 青梗 留梗柄,15.0,11.0,7.0,9.2,60208
088/02/13,FB11 花椰菜 青梗 留梗柄,15.0,11.0,6.0,9.2,64536
088/02/14,FB11 花椰菜 青梗 留梗柄,13.0,9.0,5.0,8.9,95877
088/02/15,FB11 花椰菜 青梗 留梗柄,10.0,7.0,3.0,5.7,49763
088/02/21,FB11 花椰菜 青梗 留梗柄,9.0,6.0,3.0,4.9,70592
088/02/22,FB11 花椰菜 青梗 留梗柄,8.0,5.0,2.0,4.9,33281
088/02/23,FB11 花椰菜 青梗 留梗柄,8.0,5.5,3.0,5.1,27061
088/02/24,FB11 花椰菜 青梗 留梗柄,9.0,6.0,3.0,5.0,39267
088/02/26,FB11 花椰菜 青梗 留梗柄,8.0,6.0,4.0,5.1,36271
088/02/27,FB11 花椰菜 青梗 留梗柄,8.0,5.5,3.0,5.1,30206
088/02/28,FB11 花椰菜 青梗 留梗柄,11.0,8.0,5.0,6.7,23883
088/03/01,FB11 花椰菜 青梗 留梗柄,18.0,13.0,8.0,10.5,17194
088/03/02,FB11 花椰菜 青梗 留梗柄,18.0,13.0,7.0,11.4,34688
088/03/05,FB11 花椰菜 青梗 留梗柄,14.0,10.0,6.0,8.6,48852
088/03/06,FB11 花椰菜 青梗 留梗柄,13.0,9.0,5.0,8.0,28557
088/03/07,FB11 花椰菜 青梗 留梗柄,12.0,8.0,4.0,7.3,28869
088/03/08,FB11 花椰菜 青梗 留梗柄,15.0,10.0,5.0,8.7,22999
088/03/09,FB11 花椰菜 青梗 留梗柄,12.0,8.0,4.0,8.4,20261
088/03/10,FB11 花椰菜 青梗 留梗柄,10.0,7.0,4.0,8.6,21302
088/03/11,FB11 花椰菜 青梗 留梗柄,10.0,7.0,4.0,7.4,44262
088/03/13,FB11 花椰菜 青梗 留梗柄,11.0,8.0,4.0,7.2,43775
088/03/14,FB11 花椰菜 青梗 留梗柄,11.0,8.0,4.0,7.0,33350
088/03/15,FB11 花椰菜 青梗 留梗柄,11.0,8.0,4.0,7.0,30105
088/03/16,FB11 花椰菜 青梗 留梗柄,10.0,7.0,4.0,6.8,31129
088/03/17,FB11 花椰菜 青梗 留梗柄,10.0,7.0,4.0,7.6,34214
088/03/18,FB11 花椰菜 青梗 留梗柄,13.0,9.0,5.0,8.2,30577
088/03/19,FB11 花椰菜 青梗 留梗柄,12.0,8.0,4.0,6.5,52516
088/03/21,FB11 花椰菜 青梗 留梗柄,10.0,7.0,3.0,6.5,43491
088/03/22,FB11 花椰菜 青梗 留梗柄,13.0,9.0,4.0,6.6,30412
088/03/23,FB11 花椰菜 青梗 留梗柄,15.0,10.0,4.0,9.0,20537
088/03/24,FB11 花椰菜 青梗 留梗柄,20.0,13.0,5.0,10.8,25164
088/03/25,FB11 花椰菜 青梗 留梗柄,18.0,11.0,4.0,11.5,25946
088/03/26,FB11 花椰菜 青梗 留梗柄,18.0,11.0,4.0,10.9,30828
088/03/28,FB11 花椰菜 青梗 留梗柄,16.0,10.0,4.0,10.1,37289
088/03/29,FB11 花椰菜 青梗 留梗柄,18.0,11.0,4.0,10.7,24877
088/03/30,FB11 花椰菜 青梗 留梗柄,18.0,11.0,4.0,10.7,23753
088/03/31,FB11 花椰菜 青梗 留梗柄,20.0,12.0,4.0,11.9,26611
088/04/01,FB11 花椰菜 青梗 留梗柄,18.0,11.0,4.0,11.7,25385
088/04/02,FB11 花椰菜 青梗 留梗柄,16.0,11.0,5.0,10.3,31695
088/04/03,FB11 花椰菜 青梗 留梗柄,20.0,13.0,5.0,12.3,23689
088/04/04,FB11 花椰菜 青梗 留梗柄,15.0,10.0,5.0,9.7,46088
088/04/07,FB11 花椰菜 青梗 留梗柄,15.0,10.0,4.0,9.0,46290
088/04/08,FB11 花椰菜 青梗 留梗柄,15.0,10.0,4.0,9.4,28594
088/04/09,FB11 花椰菜 青梗 留梗柄,13.0,9.0,4.0,9.3,30744
088/04/10,FB11 花椰菜 青梗 留梗柄,18.0,12.0,5.0,11.2,29915
088/04/12,FB11 花椰菜 青梗 留梗柄,16.0,11.0,5.0,9.7,44976
088/04/13,FB11 花椰菜 青梗 留梗柄,16.0,10.0,5.0,9.9,22216
088/04/14,FB11 花椰菜 青梗 留梗柄,16.0,9.0,3.0,8.7,37979
088/04/15,FB11 花椰菜 青梗 留梗柄,17.0,11.0,5.0,9.4,22223
088/04/16,FB11 花椰菜 青梗 留梗柄,14.0,9.0,4.0,8.7,33238
088/04/17,FB11 花椰菜 青梗 留梗柄,13.0,8.0,3.0,8.5,38644
088/04/19,FB11 花椰菜 青梗 留梗柄,14.0,9.0,4.0,8.3,35343
088/04/20,FB11 花椰菜 青梗 留梗柄,14.0,9.0,4.0,8.1,24534
088/04/21,FB11 花椰菜 青梗 留梗柄,14.0,9.0,4.0,9.2,24157
088/04/22,FB11 花椰菜 青梗 留梗柄,18.0,11.0,4.0,9.9,20487
088/04/23,FB11 花椰菜 青梗 留梗柄,17.0,10.0,4.0,9.3,28341
088/04/24,FB11 花椰菜 青梗 留梗柄,16.0,10.0,4.0,9.5,30411
088/04/26,FB11 花椰菜 青梗 留梗柄,15.0,10.0,4.0,9.2,32362
088/04/27,FB11 花椰菜 青梗 留梗柄,18.0,12.0,5.0,9.3,18837
088/04/28,FB11 花椰菜 青梗 留梗柄,16.0,10.0,4.0,10.2,19936
088/04/29,FB11 花椰菜 青梗 留梗柄,20.0,13.0,5.0,11.1,16113
088/04/30,FB11 花椰菜 青梗 留梗柄,17.0,11.0,5.0,11.6,18597
088/05/01,FB11 花椰菜 青梗 留梗柄,20.0,13.0,6.0,12.8,20805
088/05/03,FB11 花椰菜 青梗 留梗柄,18.0,12.0,5.0,10.5,30826
088/05/04,FB11 花椰菜 青梗 留梗柄,18.0,12.0,4.0,10.4,22337
088/05/05,FB11 花椰菜 青梗 留梗柄,20.0,13.0,5.0,10.6,14764
088/05/06,FB11 花椰菜 青梗 留梗柄,20.0,13.0,5.0,12.0,16607
088/05/07,FB11 花椰菜 青梗 留梗柄,22.0,14.0,6.0,14.2,12181
088/05/08,FB11 花椰菜 青梗 留梗柄,25.0,16.0,7.0,16.1,11478
088/05/09,FB11 花椰菜 青梗 留梗柄,25.0,17.0,7.0,15.5,18326
088/05/11,FB11 花椰菜 青梗 留梗柄,22.0,14.0,6.0,14.3,21438
088/05/12,FB11 花椰菜 青梗 留梗柄,23.0,16.0,7.0,14.4,18325
088/05/13,FB11 花椰菜 青梗 留梗柄,23.0,15.0,7.0,15.9,14596
088/05/14,FB11 花椰菜 青梗 留梗柄,30.0,20.0,8.0,18.1,11117
088/05/15,FB11 花椰菜 青梗 留梗柄,30.0,20.0,10.0,20.2,12704
088/05/16,FB11 花椰菜 青梗 留梗柄,33.0,22.0,10.0,21.3,13736
088/05/18,FB11 花椰菜 青梗 留梗柄,30.0,20.0,10.0,20.8,13079
088/05/19,FB11 花椰菜 青梗 留梗柄,38.0,27.0,10.0,24.9,7049
088/05/20,FB11 花椰菜 青梗 留梗柄,46.0,32.0,15.0,30.4,5086
088/05/21,FB11 花椰菜 青梗 留梗柄,40.0,27.0,12.0,25.8,6301
088/05/22,FB11 花椰菜 青梗 留梗柄,45.0,28.0,12.0,27.9,6611
088/05/23,FB11 花椰菜 青梗 留梗柄,45.0,27.0,10.0,27.6,7130
088/05/25,FB11 花椰菜 青梗 留梗柄,44.0,27.0,10.0,23.1,10281
088/05/26,FB11 花椰菜 青梗 留梗柄,40.0,28.0,8.0,19.9,7361
088/05/27,FB11 花椰菜 青梗 留梗柄,36.0,24.0,10.0,22.6,8071
