日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
098/04/30,A1 香蕉,44.1,39.4,32.1,38.9,14686
098/05/01,A1 香蕉,42.0,37.7,31.8,37.4,13264
098/05/02,A1 香蕉,43.1,38.1,32.0,37.9,14319
098/05/03,A1 香蕉,42.1,37.6,31.4,37.2,16541
098/05/05,A1 香蕉,43.4,37.6,30.7,37.4,16512
098/05/06,A1 香蕉,42.6,37.9,31.7,37.6,15873
098/05/07,A1 香蕉,43.7,38.3,31.4,38.0,15569
098/05/08,A1 香蕉,45.2,39.1,31.5,38.8,17948
098/05/09,A1 香蕉,45.8,39.0,33.2,39.2,26553
098/05/10,A1 香蕉,46.7,39.4,34.0,39.8,19155
098/05/12,A1 香蕉,48.0,40.9,34.7,41.1,18247
098/05/13,A1 香蕉,46.6,40.8,34.3,40.7,17479
098/05/14,A1 香蕉,45.5,39.2,30.7,38.7,14387
098/05/15,A1 香蕉,44.2,39.1,32.3,38.8,15536
098/05/16,A1 香蕉,42.4,37.6,31.9,37.4,15357
098/05/17,A1 香蕉,41.0,35.9,29.7,35.7,16711
098/05/19,A1 香蕉,40.5,35.9,29.0,35.5,17977
098/05/20,A1 香蕉,38.7,33.9,27.2,33.5,18733
098/05/21,A1 香蕉,38.0,32.8,26.0,32.5,18420
098/05/22,A1 香蕉,35.6,30.5,25.2,30.4,22020
098/05/23,A1 香蕉,35.3,28.1,21.1,28.2,31626
098/05/24,A1 香蕉,35.4,27.6,20.1,27.6,32161
098/05/26,A1 香蕉,32.4,26.0,20.6,26.2,31676
098/05/27,A1 香蕉,30.6,23.7,18.9,24.1,28734
098/05/28,A1 香蕉,30.5,23.5,16.7,23.5,31949
098/05/31,A1 香蕉,28.8,22.8,17.4,22.9,30228
098/06/02,A1 香蕉,28.4,20.5,15.1,21.0,33481
098/06/03,A1 香蕉,28.0,19.4,10.8,19.4,29769
098/06/04,A1 香蕉,25.0,17.1,9.8,17.2,21252
