日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
098/01/01,FB11 花椰菜 青梗 留梗柄,13.8,9.8,6.7,10.0,44117
098/01/02,FB11 花椰菜 青梗 留梗柄,21.7,15.5,9.9,15.6,24803
098/01/03,FB11 花椰菜 青梗 留梗柄,28.5,22.4,14.0,21.9,21808
098/01/04,FB11 花椰菜 青梗 留梗柄,24.3,18.1,13.8,18.5,33823
098/01/06,FB11 花椰菜 青梗 留梗柄,20.9,15.5,12.3,15.9,53112
098/01/07,FB11 花椰菜 青梗 留梗柄,16.8,12.8,9.9,13.0,50507
098/01/08,FB11 花椰菜 青梗 留梗柄,15.9,11.8,8.7,12.0,52092
098/01/09,FB11 花椰菜 青梗 留梗柄,16.5,12.5,9.3,12.6,44042
098/01/10,FB11 花椰菜 青梗 留梗柄,18.9,15.2,10.8,15.1,40540
098/01/11,FB11 花椰菜 青梗 留梗柄,17.7,13.7,10.9,14.0,40138
098/01/13,FB11 花椰菜 青梗 留梗柄,18.8,14.9,12.0,15.1,46085
098/01/14,FB11 花椰菜 青梗 留梗柄,22.6,18.6,14.1,18.5,30244
098/01/15,FB11 花椰菜 青梗 留梗柄,23.1,19.5,15.8,19.5,29843
098/01/16,FB11 花椰菜 青梗 留梗柄,24.3,20.0,16.3,20.1,25123
098/01/17,FB11 花椰菜 青梗 留梗柄,23.1,19.3,15.8,19.3,34260
098/01/18,FB11 花椰菜 青梗 留梗柄,20.5,16.2,13.6,16.5,48147
098/01/20,FB11 花椰菜 青梗 留梗柄,22.5,16.7,12.4,17.0,54402
098/01/21,FB11 花椰菜 青梗 留梗柄,26.2,20.8,15.0,20.7,40071
098/01/22,FB11 花椰菜 青梗 留梗柄,30.0,21.2,14.9,21.7,43831
098/01/23,FB11 花椰菜 青梗 留梗柄,28.9,20.3,14.0,20.7,46506
098/01/24,FB11 花椰菜 青梗 留梗柄,30.1,21.4,15.1,21.9,43693
098/01/25,FB11 花椰菜 青梗 留梗柄,23.0,17.1,10.7,17.0,22506
098/01/31,FB11 花椰菜 青梗 留梗柄,20.9,13.2,7.8,13.7,40762
098/02/01,FB11 花椰菜 青梗 留梗柄,21.8,13.7,6.3,13.8,32092
098/02/03,FB11 花椰菜 青梗 留梗柄,19.4,12.3,5.9,12.4,41891
098/02/04,FB11 花椰菜 青梗 留梗柄,18.4,12.1,5.5,12.1,29359
098/02/05,FB11 花椰菜 青梗 留梗柄,18.0,12.1,6.6,12.2,28114
098/02/06,FB11 花椰菜 青梗 留梗柄,18.9,11.4,7.0,12.0,27948
098/02/07,FB11 花椰菜 青梗 留梗柄,17.4,11.1,6.9,11.5,32861
098/02/08,FB11 花椰菜 青梗 留梗柄,17.5,11.3,7.5,11.8,35573
098/02/09,FB11 花椰菜 青梗 留梗柄,17.2,11.2,7.7,11.7,42467
098/02/12,FB11 花椰菜 青梗 留梗柄,12.9,7.4,4.5,7.9,84856
098/02/13,FB11 花椰菜 青梗 留梗柄,14.1,7.6,4.8,8.4,50745
098/02/14,FB11 花椰菜 青梗 留梗柄,14.1,8.0,5.6,8.7,46891
098/02/15,FB11 花椰菜 青梗 留梗柄,14.1,8.0,5.1,8.6,46219
098/02/17,FB11 花椰菜 青梗 留梗柄,16.5,8.3,5.7,9.4,40887
098/02/18,FB11 花椰菜 青梗 留梗柄,15.7,10.3,6.0,10.5,27575
098/02/19,FB11 花椰菜 青梗 留梗柄,17.4,10.9,6.8,11.4,25152
098/02/20,FB11 花椰菜 青梗 留梗柄,18.2,11.1,7.0,11.7,20695
098/02/21,FB11 花椰菜 青梗 留梗柄,25.6,15.7,10.0,16.5,18393
098/02/22,FB11 花椰菜 青梗 留梗柄,26.2,15.1,11.2,16.6,21922
098/02/24,FB11 花椰菜 青梗 留梗柄,28.6,17.5,12.9,18.8,25122
098/02/25,FB11 花椰菜 青梗 留梗柄,32.6,21.7,16.3,22.8,14357
098/02/26,FB11 花椰菜 青梗 留梗柄,29.3,17.8,11.8,18.9,18779
098/02/27,FB11 花椰菜 青梗 留梗柄,28.2,17.2,9.9,17.9,16388
098/02/28,FB11 花椰菜 青梗 留梗柄,32.3,18.2,12.9,20.0,14975
098/03/01,FB11 花椰菜 青梗 留梗柄,35.4,19.3,12.0,21.1,17365
098/03/03,FB11 花椰菜 青梗 留梗柄,38.8,20.7,15.0,23.2,19450
098/03/04,FB11 花椰菜 青梗 留梗柄,43.1,26.1,18.6,28.0,11615
098/03/05,FB11 花椰菜 青梗 留梗柄,39.8,24.7,17.9,26.3,14052
098/03/06,FB11 花椰菜 青梗 留梗柄,43.4,25.3,16.8,27.2,11800
098/03/07,FB11 花椰菜 青梗 留梗柄,42.3,25.8,19.6,27.9,15131
098/03/08,FB11 花椰菜 青梗 留梗柄,42.3,23.5,16.1,25.8,18321
098/03/10,FB11 花椰菜 青梗 留梗柄,46.3,23.6,16.6,26.7,23225
098/03/11,FB11 花椰菜 青梗 留梗柄,53.9,28.9,20.5,32.2,11793
098/03/12,FB11 花椰菜 青梗 留梗柄,51.2,28.8,18.9,31.3,14113
098/03/13,FB11 花椰菜 青梗 留梗柄,50.0,28.0,19.1,30.6,13434
098/03/14,FB11 花椰菜 青梗 留梗柄,46.9,28.9,18.1,30.4,16601
098/03/15,FB11 花椰菜 青梗 留梗柄,47.8,29.3,18.2,30.8,18111
098/03/17,FB11 花椰菜 青梗 留梗柄,46.2,30.5,19.0,31.4,23461
098/03/18,FB11 花椰菜 青梗 留梗柄,43.6,30.0,19.4,30.6,16265
098/03/19,FB11 花椰菜 青梗 留梗柄,41.6,27.9,19.6,29.0,21438
098/03/20,FB11 花椰菜 青梗 留梗柄,40.7,28.1,19.8,28.9,19066
098/03/21,FB11 花椰菜 青梗 留梗柄,35.9,24.5,13.5,24.6,27790
098/03/22,FB11 花椰菜 青梗 留梗柄,35.8,23.5,11.1,23.5,27513
098/03/24,FB11 花椰菜 青梗 留梗柄,27.5,17.6,7.3,17.5,33107
098/03/25,FB11 花椰菜 青梗 留梗柄,33.0,18.6,10.1,19.8,16477
098/03/26,FB11 花椰菜 青梗 留梗柄,38.8,26.5,18.4,27.3,13279
098/03/27,FB11 花椰菜 青梗 留梗柄,39.8,28.8,20.6,29.4,10909
098/03/28,FB11 花椰菜 青梗 留梗柄,37.6,27.1,19.4,27.7,16211
098/03/29,FB11 花椰菜 青梗 留梗柄,35.5,26.4,19.7,26.9,22244
098/03/31,FB11 花椰菜 青梗 留梗柄,37.7,27.1,19.9,27.8,23526
098/04/01,FB11 花椰菜 青梗 留梗柄,40.8,30.1,23.6,30.9,15567
098/04/02,FB11 花椰菜 青梗 留梗柄,42.9,33.3,27.0,34.0,17871
098/04/03,FB11 花椰菜 青梗 留梗柄,44.9,36.9,29.3,37.0,24837
098/04/07,FB11 花椰菜 青梗 留梗柄,34.9,26.7,19.7,27.0,44712
098/04/08,FB11 花椰菜 青梗 留梗柄,32.7,24.0,17.2,24.4,27604
098/04/09,FB11 花椰菜 青梗 留梗柄,31.3,21.6,16.5,22.5,24620
098/04/10,FB11 花椰菜 青梗 留梗柄,31.0,21.4,16.9,22.4,23660
098/04/11,FB11 花椰菜 青梗 留梗柄,30.0,20.6,15.7,21.5,28627
098/04/12,FB11 花椰菜 青梗 留梗柄,25.4,15.5,11.1,16.6,48337
098/04/14,FB11 花椰菜 青梗 留梗柄,17.9,10.1,6.7,11.0,69036
098/04/15,FB11 花椰菜 青梗 留梗柄,17.8,10.2,8.2,11.3,48754
098/04/16,FB11 花椰菜 青梗 留梗柄,16.5,11.4,8.8,11.9,41727
098/04/17,FB11 花椰菜 青梗 留梗柄,15.4,10.4,5.8,10.5,45016
098/04/18,FB11 花椰菜 青梗 留梗柄,13.3,8.7,5.7,9.0,53260
098/04/19,FB11 花椰菜 青梗 留梗柄,14.8,9.3,7.0,10.0,44181
098/04/21,FB11 花椰菜 青梗 留梗柄,18.9,9.9,7.4,11.2,34271
098/04/22,FB11 花椰菜 青梗 留梗柄,24.7,15.2,10.5,16.1,19158
098/04/23,FB11 花椰菜 青梗 留梗柄,30.9,22.0,11.4,21.7,13223
098/04/24,FB11 花椰菜 青梗 留梗柄,28.0,20.5,12.5,20.4,17942
098/04/25,FB11 花椰菜 青梗 留梗柄,34.5,20.4,11.7,21.5,14790
098/04/26,FB11 花椰菜 青梗 留梗柄,34.3,23.0,14.0,23.4,15684
098/04/28,FB11 花椰菜 青梗 留梗柄,34.9,25.2,18.1,25.7,17852
098/04/29,FB11 花椰菜 青梗 留梗柄,33.8,28.0,21.5,27.9,11359
098/04/30,FB11 花椰菜 青梗 留梗柄,32.0,27.7,21.7,27.3,13473
098/05/01,FB11 花椰菜 青梗 留梗柄,33.3,29.4,23.3,28.9,14318
098/05/02,FB11 花椰菜 青梗 留梗柄,32.5,27.8,23.3,27.9,18480
098/05/03,FB11 花椰菜 青梗 留梗柄,29.9,24.0,19.8,24.3,27379
098/05/05,FB11 花椰菜 青梗 留梗柄,26.9,21.9,18.1,22.1,29114
098/05/06,FB11 花椰菜 青梗 留梗柄,30.3,22.9,17.8,23.4,16772
098/05/07,FB11 花椰菜 青梗 留梗柄,30.6,24.3,19.7,24.6,17107
098/05/08,FB11 花椰菜 青梗 留梗柄,32.3,25.8,20.2,26.0,15383
098/05/09,FB11 花椰菜 青梗 留梗柄,32.1,25.2,18.8,25.3,19255
098/05/10,FB11 花椰菜 青梗 留梗柄,30.1,23.0,16.1,23.1,24642
