日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
105/07/03,SC1 馬鈴薯 本產,35.8,31.9,21.1,30.5,8090
105/07/05,SC1 馬鈴薯 本產,35.9,32.5,21.2,30.9,8672
105/07/06,SC1 馬鈴薯 本產,36.5,32.3,21.6,31.0,9830
105/07/07,SC1 馬鈴薯 本產,36.4,32.5,22.3,31.3,12098
105/07/08,SC1 馬鈴薯 本產,36.5,32.1,23.4,31.2,9016
105/07/09,SC1 馬鈴薯 本產,36.4,32.1,23.1,31.2,8288
105/07/10,SC1 馬鈴薯 本產,36.1,31.6,22.2,30.6,10320
105/07/12,SC1 馬鈴薯 本產,36.1,31.5,18.1,29.8,9648
105/07/13,SC1 馬鈴薯 本產,36.5,31.8,19.6,30.3,8952
105/07/14,SC1 馬鈴薯 本產,36.1,31.0,18.1,29.4,9456
105/07/15,SC1 馬鈴薯 本產,36.9,30.6,18.1,29.3,7872
105/07/16,SC1 馬鈴薯 本產,36.2,30.7,17.2,29.1,9552
105/07/17,SC1 馬鈴薯 本產,36.2,30.3,14.7,28.4,8122
105/07/19,SC1 馬鈴薯 本產,36.3,32.3,19.8,30.6,9456
105/07/20,SC1 馬鈴薯 本產,37.0,31.9,17.8,30.1,7776
105/07/21,SC1 馬鈴薯 本產,37.3,32.4,17.7,30.4,7944
105/07/22,SC1 馬鈴薯 本產,37.3,32.0,18.5,30.4,8970
105/07/23,SC1 馬鈴薯 本產,36.2,30.5,16.2,28.8,10032
105/07/24,SC1 馬鈴薯 本產,36.1,31.3,18.0,29.6,9120
105/07/26,SC1 馬鈴薯 本產,36.8,32.3,22.5,31.2,8858
105/07/27,SC1 馬鈴薯 本產,36.2,31.6,19.6,30.2,10608
105/07/28,SC1 馬鈴薯 本產,36.4,31.0,16.2,29.1,9301
105/07/29,SC1 馬鈴薯 本產,36.2,31.7,20.4,30.3,9472
105/07/30,SC1 馬鈴薯 本產,36.5,31.4,19.1,30.0,9124
105/07/31,SC1 馬鈴薯 本產,36.2,32.2,20.7,30.7,10104
105/08/02,SC1 馬鈴薯 本產,37.0,31.8,20.4,30.6,9440
105/08/03,SC1 馬鈴薯 本產,36.3,32.5,20.1,30.8,10142
105/08/04,SC1 馬鈴薯 本產,36.8,32.4,21.3,31.1,7629
105/08/05,SC1 馬鈴薯 本產,37.4,33.3,22.5,32.0,7272
105/08/06,SC1 馬鈴薯 本產,37.3,30.7,20.7,30.0,8243
105/08/07,SC1 馬鈴薯 本產,36.9,31.1,20.0,30.0,8208
105/08/09,SC1 馬鈴薯 本產,37.7,31.2,18.8,30.0,8976
105/08/10,SC1 馬鈴薯 本產,36.2,30.9,19.0,29.6,10348
105/08/11,SC1 馬鈴薯 本產,36.4,30.3,19.6,29.3,8386
105/08/12,SC1 馬鈴薯 本產,36.2,30.2,20.4,29.4,7992
105/08/13,SC1 馬鈴薯 本產,36.8,31.2,19.4,30.0,8976
105/08/14,SC1 馬鈴薯 本產,36.8,30.0,18.4,29.0,9940
105/08/16,SC1 馬鈴薯 本產,37.5,31.4,19.0,30.1,10016
105/08/17,SC1 馬鈴薯 本產,38.1,31.7,18.7,30.4,10152
105/08/20,SC1 馬鈴薯 本產,38.3,32.0,21.3,31.1,11880
105/08/21,SC1 馬鈴薯 本產,38.6,30.3,18.1,29.6,10080
105/08/23,SC1 馬鈴薯 本產,38.5,32.3,20.3,31.2,11160
105/08/24,SC1 馬鈴薯 本產,38.6,29.3,15.0,28.3,9220
105/08/25,SC1 馬鈴薯 本產,38.4,31.1,19.1,30.1,10200
105/08/26,SC1 馬鈴薯 本產,38.7,28.4,18.0,28.4,8380
105/08/27,SC1 馬鈴薯 本產,38.7,30.2,18.0,29.5,8989
105/08/28,SC1 馬鈴薯 本產,38.5,29.1,19.6,29.1,8184
105/08/30,SC1 馬鈴薯 本產,39.1,30.9,19.1,30.2,11520
105/08/31,SC1 馬鈴薯 本產,39.3,28.6,19.3,28.9,8568
105/09/01,SC1 馬鈴薯 本產,39.0,30.1,19.2,29.7,10560
105/09/02,SC1 馬鈴薯 本產,39.0,27.9,16.5,27.8,9204
105/09/03,SC1 馬鈴薯 本產,39.1,30.4,19.3,29.9,9596
105/09/04,SC1 馬鈴薯 本產,39.3,28.7,18.7,28.8,8187
105/09/06,SC1 馬鈴薯 本產,39.3,28.8,18.2,28.8,9332
105/09/07,SC1 馬鈴薯 本產,38.6,29.5,19.4,29.3,10056
105/09/08,SC1 馬鈴薯 本產,38.7,28.8,17.6,28.6,9792
105/09/09,SC1 馬鈴薯 本產,38.8,27.0,17.0,27.4,7704
105/09/10,SC1 馬鈴薯 本產,38.5,28.8,19.2,28.8,9624
105/09/11,SC1 馬鈴薯 本產,38.6,27.5,16.2,27.5,9394
105/09/13,SC1 馬鈴薯 本產,39.5,27.6,17.0,27.9,9448
105/09/14,SC1 馬鈴薯 本產,39.3,30.3,18.6,29.8,11256
105/09/15,SC1 馬鈴薯 本產,39.0,29.6,16.8,28.9,11016
105/09/18,SC1 馬鈴薯 本產,39.4,28.1,14.8,27.7,9576
105/09/20,SC1 馬鈴薯 本產,39.2,27.4,14.1,27.1,10368
105/09/21,SC1 馬鈴薯 本產,39.7,24.4,12.7,25.1,8642
105/09/22,SC1 馬鈴薯 本產,38.7,23.2,13.6,24.4,8936
105/09/23,SC1 馬鈴薯 本產,38.7,25.8,13.4,25.9,7944
105/09/24,SC1 馬鈴薯 本產,38.7,25.7,11.3,25.4,8262
105/09/25,SC1 馬鈴薯 本產,39.0,26.6,13.4,26.4,7632
105/09/27,SC1 馬鈴薯 本產,39.0,25.8,13.8,26.0,8160
105/09/28,SC1 馬鈴薯 本產,38.0,32.1,11.3,29.1,2938
105/09/29,SC1 馬鈴薯 本產,40.9,29.5,16.9,29.2,4864
105/09/30,SC1 馬鈴薯 本產,39.9,29.6,20.0,29.8,6417
105/10/01,SC1 馬鈴薯 本產,39.3,30.9,19.4,30.3,9000
105/10/02,SC1 馬鈴薯 本產,39.5,27.4,15.4,27.4,7920
105/10/04,SC1 馬鈴薯 本產,38.8,26.5,15.5,26.8,8749
105/10/05,SC1 馬鈴薯 本產,38.7,29.5,13.9,28.2,8789
105/10/06,SC1 馬鈴薯 本產,38.9,27.0,14.3,26.8,8465
105/10/07,SC1 馬鈴薯 本產,39.1,24.9,16.0,26.0,6542
105/10/08,SC1 馬鈴薯 本產,39.0,22.9,15.2,24.6,7845
105/10/09,SC1 馬鈴薯 本產,38.9,26.0,14.9,26.4,8592
105/10/11,SC1 馬鈴薯 本產,39.4,27.5,16.8,27.7,8187
105/10/12,SC1 馬鈴薯 本產,40.1,26.1,16.5,27.0,6336
105/10/13,SC1 馬鈴薯 本產,39.8,26.0,14.2,26.4,6456
105/10/14,SC1 馬鈴薯 本產,39.6,27.3,15.6,27.4,7367
105/10/15,SC1 馬鈴薯 本產,39.9,28.0,17.2,28.2,6516
105/10/16,SC1 馬鈴薯 本產,40.2,27.9,17.6,28.3,5468
105/10/18,SC1 馬鈴薯 本產,39.5,30.3,18.5,29.8,7848
105/10/19,SC1 馬鈴薯 本產,39.9,29.5,18.3,29.3,7156
105/10/20,SC1 馬鈴薯 本產,39.7,28.8,18.0,28.8,7212
105/10/21,SC1 馬鈴薯 本產,40.0,28.0,19.1,28.6,6144
105/10/22,SC1 馬鈴薯 本產,39.4,30.1,14.0,28.7,8648
105/10/23,SC1 馬鈴薯 本產,40.5,28.5,17.5,28.7,5088
105/10/25,SC1 馬鈴薯 本產,40.5,26.5,16.4,27.3,6619
105/10/26,SC1 馬鈴薯 本產,44.5,30.2,18.3,30.7,4604
105/10/27,SC1 馬鈴薯 本產,41.9,31.1,20.1,31.1,6672
105/10/28,SC1 馬鈴薯 本產,45.1,26.9,16.0,28.4,4240
105/10/29,SC1 馬鈴薯 本產,41.9,30.8,16.0,30.1,7182
105/10/30,SC1 馬鈴薯 本產,42.7,27.7,16.5,28.4,4512
105/11/01,SC1 馬鈴薯 本產,42.9,29.1,15.4,29.1,6144
105/11/02,SC1 馬鈴薯 本產,46.1,30.8,16.1,30.9,4800
105/11/03,SC1 馬鈴薯 本產,45.9,29.5,16.7,30.2,6478
105/11/04,SC1 馬鈴薯 本產,46.1,27.9,16.2,29.2,5733
105/11/05,SC1 馬鈴薯 本產,45.9,27.5,17.0,29.1,6469
105/11/06,SC1 馬鈴薯 本產,46.3,33.5,14.8,32.3,4392
105/11/08,SC1 馬鈴薯 本產,46.9,28.9,15.9,29.9,4538
105/11/09,SC1 馬鈴薯 本產,46.5,39.0,17.8,36.3,5596
105/11/10,SC1 馬鈴薯 本產,47.3,37.0,16.4,35.0,4102
105/11/11,SC1 馬鈴薯 本產,47.6,36.7,16.5,34.9,3024
105/11/12,SC1 馬鈴薯 本產,47.4,32.7,14.7,32.1,3120
105/11/13,SC1 馬鈴薯 本產,46.0,34.3,16.7,33.1,4488
105/11/15,SC1 馬鈴薯 本產,47.1,32.4,11.4,31.2,4176
105/11/16,SC1 馬鈴薯 本產,46.2,32.5,14.8,31.7,3600
105/11/17,SC1 馬鈴薯 本產,47.0,34.8,13.7,33.0,3456
105/11/18,SC1 馬鈴薯 本產,46.2,26.9,12.5,27.9,4712
105/11/19,SC1 馬鈴薯 本產,46.3,30.1,12.8,29.9,3120
105/11/20,SC1 馬鈴薯 本產,47.0,28.4,12.4,28.9,3879
105/11/22,SC1 馬鈴薯 本產,47.2,35.8,13.4,33.6,3288
105/11/23,SC1 馬鈴薯 本產,46.8,35.2,14.5,33.4,3600
105/11/24,SC1 馬鈴薯 本產,45.0,28.2,10.8,28.1,1944
105/11/25,SC1 馬鈴薯 本產,45.0,25.9,10.7,26.7,2112
105/11/26,SC1 馬鈴薯 本產,38.8,25.1,10.0,24.8,1728
105/11/27,SC1 馬鈴薯 本產,45.0,29.5,10.6,28.8,2970
105/11/29,SC1 馬鈴薯 本產,45.0,26.3,10.0,26.8,3312
105/11/30,SC1 馬鈴薯 本產,45.0,26.9,8.0,26.7,3648
105/12/01,SC1 馬鈴薯 本產,45.0,24.8,7.8,25.5,3216
105/12/02,SC1 馬鈴薯 本產,45.0,31.2,7.4,29.2,3646
105/12/03,SC1 馬鈴薯 本產,45.0,27.6,6.9,27.0,2616
105/12/04,SC1 馬鈴薯 本產,45.0,26.0,4.5,25.5,2712
