日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
108/01/01,11 椰子,12.7,12.0,11.2,12.0,1361
108/01/02,11 椰子,12.0,11.2,8.8,10.9,893
108/01/03,11 椰子,12.0,10.8,8.2,10.5,810
108/01/04,11 椰子,10.4,9.9,8.1,9.6,655
108/01/05,11 椰子,12.8,11.3,8.7,11.1,900
108/01/06,11 椰子,11.8,9.9,8.7,10.0,897
108/01/08,11 椰子,15.0,12.6,9.8,12.5,902
108/01/09,11 椰子,14.0,12.4,9.4,12.1,1410
108/01/10,11 椰子,12.3,10.8,7.4,10.4,1321
108/01/11,11 椰子,12.7,11.4,8.9,11.2,1074
108/01/12,11 椰子,12.3,11.2,9.0,11.0,870
108/01/13,11 椰子,12.0,10.8,7.8,10.5,939
108/01/15,11 椰子,14.6,12.1,10.0,12.2,1370
108/01/16,11 椰子,12.8,11.9,10.0,11.7,990
108/01/17,11 椰子,12.2,11.2,9.1,11.0,690
108/01/18,11 椰子,15.0,12.5,10.1,12.5,790
108/01/19,11 椰子,13.8,11.6,9.8,11.7,989
108/01/20,11 椰子,11.9,10.6,9.1,10.6,953
108/01/22,11 椰子,9.0,7.9,7.0,7.9,102
108/01/23,11 椰子,10.0,10.0,7.3,9.4,497
108/01/24,11 椰子,15.0,13.4,10.1,13.0,844
108/01/25,11 椰子,13.5,11.7,8.4,11.4,819
108/01/26,11 椰子,13.7,12.6,10.8,12.5,835
108/01/27,11 椰子,15.0,11.2,8.9,11.5,1137
108/01/29,11 椰子,13.3,10.6,8.7,10.8,894
108/01/30,11 椰子,13.8,12.2,10.0,12.1,740
108/01/31,11 椰子,14.0,12.7,10.2,12.5,864
108/02/01,11 椰子,15.8,12.3,10.0,12.5,1422
108/02/02,11 椰子,22.1,12.8,10.4,14.2,912
108/02/03,11 椰子,16.9,13.2,10.9,13.5,1848
108/02/04,11 椰子,24.7,23.3,19.3,22.8,450
108/02/10,11 椰子,15.0,14.7,11.0,14.0,1463
108/02/11,11 椰子,16.6,15.9,12.7,15.4,965
108/02/12,11 椰子,15.3,13.5,10.6,13.3,1907
108/02/14,11 椰子,15.0,13.6,10.3,13.2,1574
108/02/15,11 椰子,16.2,13.9,9.8,13.5,1253
108/02/16,11 椰子,15.0,12.9,8.9,12.5,1133
108/02/17,11 椰子,14.4,12.9,10.2,12.7,839
108/02/18,11 椰子,14.7,12.1,9.1,12.0,1085
108/02/19,11 椰子,14.5,11.5,8.9,11.6,1131
108/02/22,11 椰子,14.6,12.9,10.8,12.8,1339
108/02/23,11 椰子,12.7,10.6,8.9,10.7,1300
108/02/24,11 椰子,13.1,10.3,9.3,10.6,1270
108/02/26,11 椰子,13.5,11.7,8.4,11.4,1194
108/02/27,11 椰子,16.6,13.1,9.5,13.1,1058
108/02/28,11 椰子,14.3,11.9,9.0,11.8,1606
108/03/01,11 椰子,13.4,11.6,8.4,11.3,1254
108/03/02,11 椰子,15.3,11.8,8.8,11.9,843
108/03/03,11 椰子,14.0,12.6,8.6,12.1,932
108/03/05,11 椰子,14.2,12.1,9.0,11.9,1572
108/03/06,11 椰子,14.2,12.7,10.4,12.5,750
108/03/07,11 椰子,14.1,11.5,9.7,11.7,795
108/03/08,11 椰子,13.6,12.3,9.8,12.1,715
108/03/09,11 椰子,13.7,10.8,8.6,11.0,1141
108/03/10,11 椰子,13.0,11.5,7.7,11.0,995
108/03/12,11 椰子,13.0,12.0,9.5,11.7,943
108/03/13,11 椰子,14.9,12.5,9.8,12.4,939
108/03/14,11 椰子,17.7,13.5,10.0,13.7,828
108/03/15,11 椰子,16.7,14.2,10.0,13.9,1613
108/03/16,11 椰子,16.8,14.2,10.8,14.0,1294
108/03/17,11 椰子,16.0,14.8,11.8,14.4,1144
108/03/19,11 椰子,17.7,13.9,10.7,14.0,2279
108/03/20,11 椰子,17.3,15.3,10.6,14.8,1866
108/03/21,11 椰子,17.6,14.2,10.6,14.2,2486
108/03/22,11 椰子,17.1,14.0,11.6,14.1,2356
108/03/23,11 椰子,13.3,10.9,9.5,11.1,2162
108/03/24,11 椰子,14.1,13.3,7.8,12.4,1111
108/03/26,11 椰子,13.1,10.4,7.0,10.3,2230
108/03/27,11 椰子,15.0,12.5,8.8,12.3,1507
108/03/28,11 椰子,13.0,11.3,9.8,11.3,1767
108/03/29,11 椰子,15.0,14.0,10.8,13.6,1357
108/03/30,11 椰子,14.5,12.3,8.4,11.9,1944
108/03/31,11 椰子,15.5,12.7,10.0,12.7,634
108/04/02,11 椰子,14.7,11.9,8.7,11.8,1783
108/04/03,11 椰子,17.1,11.3,10.0,12.2,1363
108/04/04,11 椰子,19.6,15.7,11.6,15.7,1504
108/04/07,11 椰子,19.9,13.2,10.0,13.9,2244
108/04/09,11 椰子,19.3,15.5,10.9,15.4,2969
108/04/10,11 椰子,19.7,15.2,10.0,15.1,2471
108/04/11,11 椰子,19.1,15.5,12.4,15.6,2972
108/04/12,11 椰子,17.5,12.2,8.8,12.6,3799
108/04/13,11 椰子,17.5,13.9,10.4,13.9,2143
108/04/14,11 椰子,17.4,14.8,11.4,14.7,1785
108/04/16,11 椰子,18.9,14.4,10.5,14.5,3076
108/04/17,11 椰子,20.1,11.5,7.0,12.3,2415
108/04/18,11 椰子,20.0,12.6,8.2,13.2,1695
108/04/19,11 椰子,17.2,13.2,7.0,12.8,2774
108/04/20,11 椰子,17.7,11.5,6.0,11.6,2435
108/04/21,11 椰子,16.9,13.5,9.8,13.4,1345
108/04/23,11 椰子,18.3,12.4,5.3,12.2,3007
108/04/24,11 椰子,20.9,17.4,11.9,17.0,1398
108/04/25,11 椰子,22.0,19.5,14.8,19.0,1670
108/04/26,11 椰子,25.8,21.2,15.3,21.0,2262
108/04/27,11 椰子,24.3,20.7,17.1,20.7,3095
108/04/28,11 椰子,20.9,17.4,13.7,17.4,3885
108/04/30,11 椰子,21.2,18.3,13.3,17.9,4473
108/05/01,11 椰子,21.4,16.6,11.3,16.5,3086
108/05/02,11 椰子,19.0,11.3,6.2,11.8,4015
108/05/03,11 椰子,20.0,13.9,8.2,14.0,1807
108/05/04,11 椰子,16.9,11.8,7.0,11.9,3374
108/05/05,11 椰子,20.1,16.5,10.5,16.0,1821
108/05/07,11 椰子,18.3,14.2,6.7,13.5,2884
108/05/08,11 椰子,20.0,15.3,7.8,14.8,1698
108/05/09,11 椰子,17.8,15.6,12.1,15.4,2085
108/05/10,11 椰子,18.1,12.8,6.8,12.6,1992
108/05/11,11 椰子,16.0,11.5,8.2,11.7,2497
108/05/12,11 椰子,15.6,12.4,6.7,11.9,1884
108/05/14,11 椰子,16.5,10.8,6.7,11.2,3438
108/05/15,11 椰子,19.5,12.3,8.3,12.9,2437
108/05/17,11 椰子,19.8,12.7,7.3,13.0,3278
108/05/18,11 椰子,24.1,15.4,9.5,16.0,3208
108/05/19,11 椰子,24.6,20.2,14.3,19.9,2148
