日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
088/01/01,SC11 馬鈴薯 本產 洗,20.4,15.0,5.5,14.1,1676
088/01/02,SC11 馬鈴薯 本產 洗,20.5,17.7,10.3,16.8,3170
088/01/03,SC11 馬鈴薯 本產 洗,19.7,19.7,19.7,19.7,7830
088/01/05,SC11 馬鈴薯 本產 洗,23.1,19.2,11.7,18.4,3600
088/01/06,SC11 馬鈴薯 本產 洗,19.6,19.6,19.6,19.6,2760
088/01/07,SC11 馬鈴薯 本產 洗,35.0,25.0,15.0,18.9,3330
088/01/08,SC11 馬鈴薯 本產 洗,18.0,18.0,18.0,18.0,3210
088/01/09,SC11 馬鈴薯 本產 洗,17.7,17.7,17.7,17.7,2610
088/01/10,SC11 馬鈴薯 本產 洗,17.1,17.1,17.1,17.1,1440
088/01/11,SC11 馬鈴薯 本產 洗,35.0,25.0,15.0,16.6,2370
088/01/13,SC11 馬鈴薯 本產 洗,35.0,25.0,15.0,16.8,4440
088/01/14,SC11 馬鈴薯 本產 洗,35.0,25.0,15.0,17.3,3870
088/01/15,SC11 馬鈴薯 本產 洗,35.0,25.0,15.0,16.8,3840
088/01/16,SC11 馬鈴薯 本產 洗,35.0,25.0,15.0,16.1,3540
088/01/17,SC11 馬鈴薯 本產 洗,16.6,16.6,16.6,16.6,3810
088/01/18,SC11 馬鈴薯 本產 洗,20.5,20.5,20.5,20.5,14100
088/01/20,SC11 馬鈴薯 本產 洗,32.0,22.0,12.0,17.8,3510
088/01/21,SC11 馬鈴薯 本產 洗,32.0,22.0,12.0,15.5,3180
088/01/22,SC11 馬鈴薯 本產 洗,32.0,22.0,12.0,15.7,1830
088/01/23,SC11 馬鈴薯 本產 洗,32.0,22.0,12.0,19.3,2790
088/01/24,SC11 馬鈴薯 本產 洗,32.0,22.0,12.0,17.0,2040
088/01/25,SC11 馬鈴薯 本產 洗,32.0,22.0,12.0,18.1,1140
088/01/27,SC11 馬鈴薯 本產 洗,19.7,19.7,19.7,19.7,1869
088/01/28,SC11 馬鈴薯 本產 洗,23.5,23.5,23.5,23.5,3337
088/01/29,SC11 馬鈴薯 本產 洗,21.5,21.5,21.5,21.5,2100
