日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
108/01/01,SC1 馬鈴薯 本產,29.1,23.3,14.9,22.8,8496
108/01/02,SC1 馬鈴薯 本產,29.2,23.0,16.5,23.0,7824
108/01/03,SC1 馬鈴薯 本產,28.4,22.6,12.0,21.6,7986
108/01/04,SC1 馬鈴薯 本產,28.4,22.5,8.7,20.9,9112
108/01/05,SC1 馬鈴薯 本產,29.6,21.8,5.4,20.1,8064
108/01/06,SC1 馬鈴薯 本產,29.0,22.3,6.5,20.5,8376
108/01/08,SC1 馬鈴薯 本產,28.7,22.5,9.8,21.2,9218
108/01/09,SC1 馬鈴薯 本產,28.3,22.4,7.9,20.7,8952
108/01/10,SC1 馬鈴薯 本產,27.7,22.3,9.0,20.7,9786
108/01/11,SC1 馬鈴薯 本產,28.2,22.2,8.4,20.7,8952
108/01/12,SC1 馬鈴薯 本產,27.5,22.4,10.8,21.1,8745
108/01/13,SC1 馬鈴薯 本產,27.5,22.9,14.8,22.2,6600
108/01/15,SC1 馬鈴薯 本產,28.4,22.7,15.4,22.4,9576
108/01/16,SC1 馬鈴薯 本產,28.2,22.5,15.2,22.2,8256
108/01/17,SC1 馬鈴薯 本產,27.4,23.3,15.6,22.6,7555
108/01/18,SC1 馬鈴薯 本產,29.2,22.8,16.4,22.8,7001
108/01/19,SC1 馬鈴薯 本產,27.3,21.9,16.1,21.8,8442
108/01/20,SC1 馬鈴薯 本產,26.3,21.3,15.1,21.0,9286
108/01/22,SC1 馬鈴薯 本產,25.9,18.6,8.4,18.0,12928
108/01/23,SC1 馬鈴薯 本產,25.5,17.8,4.8,16.7,10989
108/01/24,SC1 馬鈴薯 本產,25.9,21.7,11.6,20.5,9320
108/01/25,SC1 馬鈴薯 本產,26.3,21.5,12.6,20.7,6579
108/01/26,SC1 馬鈴薯 本產,25.5,21.6,12.8,20.6,8402
108/01/27,SC1 馬鈴薯 本產,24.9,21.6,10.8,20.1,9149
108/01/29,SC1 馬鈴薯 本產,25.8,21.5,11.7,20.4,9213
108/01/30,SC1 馬鈴薯 本產,25.9,22.2,15.6,21.6,8988
108/01/31,SC1 馬鈴薯 本產,25.4,22.0,15.0,21.3,13780
108/02/01,SC1 馬鈴薯 本產,27.5,20.8,12.7,20.5,8545
108/02/02,SC1 馬鈴薯 本產,27.5,21.8,11.8,20.9,10565
108/02/03,SC1 馬鈴薯 本產,27.5,24.0,16.3,23.2,7776
108/02/04,SC1 馬鈴薯 本產,27.3,24.3,18.0,23.6,3984
108/02/10,SC1 馬鈴薯 本產,30.0,21.2,11.4,21.0,5987
108/02/11,SC1 馬鈴薯 本產,27.3,22.7,12.8,21.6,9722
108/02/12,SC1 馬鈴薯 本產,28.2,22.7,15.1,22.3,8078
108/02/14,SC1 馬鈴薯 本產,27.2,22.3,15.4,21.9,10409
108/02/15,SC1 馬鈴薯 本產,26.2,22.4,15.4,21.7,10091
108/02/16,SC1 馬鈴薯 本產,27.0,21.7,9.5,20.3,9264
108/02/17,SC1 馬鈴薯 本產,27.3,22.7,14.2,21.9,8237
108/02/18,SC1 馬鈴薯 本產,26.7,22.6,14.4,21.8,7150
108/02/19,SC1 馬鈴薯 本產,27.1,21.8,11.7,20.8,8041
108/02/22,SC1 馬鈴薯 本產,26.5,21.8,13.5,21.1,10076
108/02/23,SC1 馬鈴薯 本產,25.8,22.2,13.1,21.1,11754
108/02/24,SC1 馬鈴薯 本產,25.7,20.7,12.5,20.1,11908
108/02/26,SC1 馬鈴薯 本產,25.5,20.5,9.9,19.4,11529
108/02/27,SC1 馬鈴薯 本產,25.6,20.2,13.5,19.9,15314
108/02/28,SC1 馬鈴薯 本產,25.5,20.6,9.3,19.3,10119
108/03/01,SC1 馬鈴薯 本產,25.9,21.1,12.1,20.3,9233
108/03/02,SC1 馬鈴薯 本產,26.7,21.6,12.5,20.8,8682
108/03/03,SC1 馬鈴薯 本產,25.9,21.5,14.7,21.0,9188
108/03/05,SC1 馬鈴薯 本產,26.4,20.6,12.4,20.1,9840
108/03/06,SC1 馬鈴薯 本產,25.5,21.2,13.6,20.6,9809
108/03/07,SC1 馬鈴薯 本產,24.9,20.1,10.5,19.1,10358
108/03/08,SC1 馬鈴薯 本產,24.7,19.9,12.2,19.3,10740
108/03/09,SC1 馬鈴薯 本產,25.7,20.2,12.0,19.6,9186
108/03/10,SC1 馬鈴薯 本產,24.9,20.2,10.7,19.2,10732
108/03/12,SC1 馬鈴薯 本產,25.0,20.3,12.3,19.6,10052
108/03/13,SC1 馬鈴薯 本產,25.1,21.1,12.0,20.1,12335
108/03/14,SC1 馬鈴薯 本產,24.9,21.6,14.0,20.7,11515
108/03/15,SC1 馬鈴薯 本產,24.9,21.9,14.3,21.0,12567
108/03/16,SC1 馬鈴薯 本產,25.8,21.9,15.0,21.3,9759
108/03/17,SC1 馬鈴薯 本產,25.1,21.9,14.7,21.1,10436
108/03/19,SC1 馬鈴薯 本產,25.9,22.4,14.8,21.6,9593
108/03/20,SC1 馬鈴薯 本產,25.5,22.5,15.0,21.6,10014
108/03/21,SC1 馬鈴薯 本產,25.3,21.4,13.5,20.6,9831
108/03/22,SC1 馬鈴薯 本產,25.2,21.6,12.4,20.5,9759
108/03/23,SC1 馬鈴薯 本產,25.3,21.2,12.9,20.4,11033
108/03/24,SC1 馬鈴薯 本產,25.3,21.5,13.5,20.6,10427
108/03/26,SC1 馬鈴薯 本產,25.6,21.3,12.7,20.4,9792
108/03/27,SC1 馬鈴薯 本產,25.0,21.7,13.1,20.6,13001
108/03/28,SC1 馬鈴薯 本產,25.3,21.8,13.8,20.9,9796
108/03/29,SC1 馬鈴薯 本產,25.3,21.5,13.7,20.7,11433
108/03/30,SC1 馬鈴薯 本產,25.7,21.6,13.3,20.8,9407
108/03/31,SC1 馬鈴薯 本產,24.9,22.1,14.6,21.2,13168
108/04/02,SC1 馬鈴薯 本產,25.4,21.0,11.8,20.0,11745
108/04/03,SC1 馬鈴薯 本產,25.5,21.4,14.0,20.7,9528
108/04/04,SC1 馬鈴薯 本產,25.8,22.0,14.8,21.4,9191
108/04/07,SC1 馬鈴薯 本產,26.1,21.6,13.5,20.9,10452
108/04/09,SC1 馬鈴薯 本產,25.5,22.2,14.3,21.3,11616
108/04/10,SC1 馬鈴薯 本產,26.8,22.4,14.3,21.6,10436
108/04/11,SC1 馬鈴薯 本產,25.3,21.4,11.1,20.1,12480
108/04/12,SC1 馬鈴薯 本產,25.5,20.8,10.4,19.6,10200
108/04/13,SC1 馬鈴薯 本產,25.0,21.0,11.3,19.9,11640
108/04/14,SC1 馬鈴薯 本產,25.0,21.3,10.0,19.8,10368
108/04/16,SC1 馬鈴薯 本產,24.7,20.4,11.6,19.5,10224
108/04/17,SC1 馬鈴薯 本產,25.4,22.3,12.4,20.9,11232
108/04/18,SC1 馬鈴薯 本產,25.4,21.3,11.4,20.1,9204
108/04/19,SC1 馬鈴薯 本產,25.2,21.0,9.4,19.5,10210
108/04/20,SC1 馬鈴薯 本產,25.2,21.2,10.6,19.9,10659
108/04/21,SC1 馬鈴薯 本產,25.2,21.3,11.0,20.0,9603
108/04/23,SC1 馬鈴薯 本產,25.1,21.0,11.3,19.9,11571
108/04/24,SC1 馬鈴薯 本產,25.2,21.0,10.7,19.8,12435
108/04/25,SC1 馬鈴薯 本產,25.3,20.4,10.0,19.3,10776
108/04/26,SC1 馬鈴薯 本產,25.5,19.1,9.9,18.5,9648
108/04/27,SC1 馬鈴薯 本產,25.4,20.1,9.8,19.1,11808
108/04/28,SC1 馬鈴薯 本產,25.6,19.6,7.8,18.4,9192
108/04/30,SC1 馬鈴薯 本產,25.5,20.4,8.3,19.0,10668
108/05/01,SC1 馬鈴薯 本產,25.4,21.1,8.6,19.5,10008
108/05/02,SC1 馬鈴薯 本產,25.7,21.0,11.6,20.1,8955
108/05/03,SC1 馬鈴薯 本產,25.9,21.9,12.4,20.8,9240
108/05/04,SC1 馬鈴薯 本產,25.9,20.8,11.7,20.0,10176
108/05/05,SC1 馬鈴薯 本產,25.6,21.0,10.9,19.9,12144
108/05/07,SC1 馬鈴薯 本產,25.9,21.1,11.0,20.0,11828
108/05/08,SC1 馬鈴薯 本產,26.0,21.8,12.1,20.7,12048
108/05/09,SC1 馬鈴薯 本產,25.7,21.7,12.1,20.6,13968
108/05/10,SC1 馬鈴薯 本產,25.9,21.2,11.4,20.2,11688
108/05/11,SC1 馬鈴薯 本產,26.0,21.3,11.0,20.1,11904
108/05/12,SC1 馬鈴薯 本產,25.9,22.5,12.1,21.1,11016
108/05/14,SC1 馬鈴薯 本產,26.3,22.4,12.8,21.2,9603
108/05/15,SC1 馬鈴薯 本產,26.4,22.8,14.3,21.8,10563
108/05/17,SC1 馬鈴薯 本產,26.1,21.3,11.6,20.3,11243
108/05/18,SC1 馬鈴薯 本產,26.4,22.1,12.3,21.0,10773
108/05/19,SC1 馬鈴薯 本產,25.9,22.1,11.8,20.8,11692
