日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
108/01/01,FB11 花椰菜 青梗 留梗柄,43.0,32.4,15.2,31.1,29520
108/01/02,FB11 花椰菜 青梗 留梗柄,43.2,30.8,16.5,30.4,23461
108/01/03,FB11 花椰菜 青梗 留梗柄,40.9,28.8,15.4,28.5,23339
108/01/04,FB11 花椰菜 青梗 留梗柄,41.9,28.4,16.1,28.6,26092
108/01/05,FB11 花椰菜 青梗 留梗柄,42.7,27.7,11.8,27.6,30873
108/01/06,FB11 花椰菜 青梗 留梗柄,41.1,26.6,12.7,26.7,34370
108/01/08,FB11 花椰菜 青梗 留梗柄,43.6,25.9,13.7,27.0,46772
108/01/09,FB11 花椰菜 青梗 留梗柄,43.7,23.5,12.0,25.3,35561
108/01/10,FB11 花椰菜 青梗 留梗柄,41.4,21.6,11.4,23.5,34795
108/01/11,FB11 花椰菜 青梗 留梗柄,39.1,19.5,9.4,21.4,37879
108/01/12,FB11 花椰菜 青梗 留梗柄,38.1,19.8,9.6,21.5,37861
108/01/13,FB11 花椰菜 青梗 留梗柄,34.3,18.7,8.3,19.7,41032
108/01/15,FB11 花椰菜 青梗 留梗柄,34.3,20.3,9.2,20.9,40931
108/01/16,FB11 花椰菜 青梗 留梗柄,34.1,21.2,11.8,21.9,25957
108/01/17,FB11 花椰菜 青梗 留梗柄,31.3,19.8,9.6,20.0,22667
108/01/18,FB11 花椰菜 青梗 留梗柄,31.4,21.3,11.5,21.4,25478
108/01/19,FB11 花椰菜 青梗 留梗柄,41.2,30.8,18.2,30.4,17244
108/01/20,FB11 花椰菜 青梗 留梗柄,40.5,29.1,18.9,29.3,25338
108/01/22,FB11 花椰菜 青梗 留梗柄,35.9,26.2,17.5,26.4,42149
108/01/23,FB11 花椰菜 青梗 留梗柄,36.5,26.9,19.7,27.4,26711
108/01/24,FB11 花椰菜 青梗 留梗柄,34.8,24.5,16.9,25.1,25439
108/01/25,FB11 花椰菜 青梗 留梗柄,32.7,24.7,18.2,25.0,29004
108/01/26,FB11 花椰菜 青梗 留梗柄,35.0,24.1,16.5,24.7,35083
108/01/27,FB11 花椰菜 青梗 留梗柄,31.9,21.4,14.7,22.1,47045
108/01/29,FB11 花椰菜 青梗 留梗柄,30.9,20.6,13.6,21.3,55557
108/01/30,FB11 花椰菜 青梗 留梗柄,32.9,20.1,10.9,20.9,42767
108/01/31,FB11 花椰菜 青梗 留梗柄,36.4,19.6,9.5,20.9,41066
108/02/01,FB11 花椰菜 青梗 留梗柄,45.5,26.0,13.7,27.4,34436
108/02/02,FB11 花椰菜 青梗 留梗柄,64.4,35.2,20.1,38.0,39714
108/02/03,FB11 花椰菜 青梗 留梗柄,62.3,32.6,17.3,35.5,41024
108/02/04,FB11 花椰菜 青梗 留梗柄,41.9,19.3,9.1,21.8,28236
108/02/10,FB11 花椰菜 青梗 留梗柄,37.0,19.9,6.8,20.7,38218
