日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
103/01/01,F1 雜柑 檸檬,65.7,52.6,31.2,51.0,3033
103/01/02,F1 雜柑 檸檬,70.1,59.4,28.5,55.4,1743
103/01/03,F1 雜柑 檸檬,72.0,58.3,34.5,56.3,2711
103/01/04,F1 雜柑 檸檬,74.1,63.4,38.4,60.5,2739
103/01/05,F1 雜柑 檸檬,75.3,61.5,38.3,59.6,2575
103/01/07,F1 雜柑 檸檬,70.7,59.4,36.9,57.2,4135
103/01/08,F1 雜柑 檸檬,67.9,53.6,29.2,51.6,3445
103/01/09,F1 雜柑 檸檬,63.4,49.1,24.3,47.0,3382
103/01/10,F1 雜柑 檸檬,70.0,43.5,16.8,43.4,1852
103/01/11,F1 雜柑 檸檬,60.0,42.7,16.5,40.9,2973
103/01/12,F1 雜柑 檸檬,63.7,47.7,27.9,46.9,1822
103/01/14,F1 雜柑 檸檬,70.4,47.0,19.4,46.2,2101
103/01/15,F1 雜柑 檸檬,81.3,60.0,23.8,57.0,1234
103/01/16,F1 雜柑 檸檬,86.8,67.1,35.0,64.6,1782
103/01/17,F1 雜柑 檸檬,84.5,70.5,46.2,68.4,3168
103/01/18,F1 雜柑 檸檬,87.0,70.6,48.5,69.5,2688
103/01/19,F1 雜柑 檸檬,86.9,75.5,44.1,71.5,2466
103/01/21,F1 雜柑 檸檬,88.6,74.9,33.3,69.3,3109
103/01/22,F1 雜柑 檸檬,92.6,84.2,50.2,79.1,2744
103/01/23,F1 雜柑 檸檬,88.8,78.3,50.9,74.9,4124
103/01/24,F1 雜柑 檸檬,84.1,75.0,46.5,71.2,5428
103/01/25,F1 雜柑 檸檬,77.4,61.8,32.9,59.1,6071
103/01/26,F1 雜柑 檸檬,75.8,47.8,24.3,48.7,3864
103/01/27,F1 雜柑 檸檬,93.6,66.5,42.4,67.1,1701
103/01/28,F1 雜柑 檸檬,90.7,67.1,36.3,65.7,6438
103/01/29,F1 雜柑 檸檬,84.4,61.3,28.9,59.5,5286
103/01/30,F1 雜柑 檸檬,95.8,59.3,18.3,58.4,1740
103/02/05,F1 雜柑 檸檬,76.3,57.5,29.9,55.7,5611
103/02/06,F1 雜柑 檸檬,76.9,54.0,25.8,52.9,4214
103/02/07,F1 雜柑 檸檬,67.8,52.6,28.3,50.8,3764
103/02/08,F1 雜柑 檸檬,71.7,50.9,24.5,49.8,2513
103/02/09,F1 雜柑 檸檬,70.5,54.8,27.6,52.5,2524
103/02/11,F1 雜柑 檸檬,70.0,60.0,32.8,56.5,2558
103/02/12,F1 雜柑 檸檬,81.2,75.7,46.0,70.9,2215
103/02/13,F1 雜柑 檸檬,82.6,64.0,40.2,63.0,3034
103/02/14,F1 雜柑 檸檬,80.5,54.6,30.9,55.0,3716
103/02/18,F1 雜柑 檸檬,64.5,48.2,23.9,46.6,6933
103/02/19,F1 雜柑 檸檬,65.6,46.1,24.4,45.6,3924
103/02/20,F1 雜柑 檸檬,68.3,53.3,32.6,52.2,2221
103/02/21,F1 雜柑 檸檬,75.9,64.1,37.1,61.1,2900
103/02/22,F1 雜柑 檸檬,67.2,53.7,30.4,51.8,3116
103/02/23,F1 雜柑 檸檬,66.9,50.0,27.0,48.8,2675
103/02/25,F1 雜柑 檸檬,71.4,60.5,38.5,58.3,3581
103/02/26,F1 雜柑 檸檬,76.7,59.6,42.1,59.5,3191
103/02/27,F1 雜柑 檸檬,69.9,55.7,32.3,53.9,4138
103/02/28,F1 雜柑 檸檬,67.5,54.9,32.8,53.0,3909
103/03/01,F1 雜柑 檸檬,71.7,56.1,25.4,53.1,3467
103/03/02,F1 雜柑 檸檬,74.9,67.3,44.7,64.3,2527
103/03/04,F1 雜柑 檸檬,78.2,66.1,45.0,64.3,3618
103/03/05,F1 雜柑 檸檬,74.6,64.1,40.2,61.4,4198
103/03/06,F1 雜柑 檸檬,71.6,62.9,41.2,60.3,5012
103/03/07,F1 雜柑 檸檬,68.3,58.2,35.6,55.7,4927
103/03/08,F1 雜柑 檸檬,59.1,47.6,26.5,45.6,4678
103/03/09,F1 雜柑 檸檬,61.8,50.5,28.2,48.3,2733
103/03/11,F1 雜柑 檸檬,65.6,56.1,38.9,54.6,3187
103/03/12,F1 雜柑 檸檬,65.6,55.0,36.4,53.4,3834
103/03/13,F1 雜柑 檸檬,64.8,55.0,36.5,53.3,3907
103/03/14,F1 雜柑 檸檬,66.3,57.2,40.7,55.7,2959
103/03/15,F1 雜柑 檸檬,65.3,55.4,35.6,53.4,3081
103/03/16,F1 雜柑 檸檬,66.2,58.7,32.1,54.9,3215
103/03/18,F1 雜柑 檸檬,75.0,61.7,35.7,59.1,3513
103/03/19,F1 雜柑 檸檬,67.4,61.2,41.6,58.6,5795
103/03/20,F1 雜柑 檸檬,69.2,60.5,43.3,58.8,4394
103/03/21,F1 雜柑 檸檬,65.4,58.7,42.8,56.9,6047
103/03/22,F1 雜柑 檸檬,59.3,52.5,39.1,51.2,5682
103/03/23,F1 雜柑 檸檬,54.8,48.8,37.1,47.7,3195
103/03/25,F1 雜柑 檸檬,65.2,52.5,40.6,52.7,5225
103/03/26,F1 雜柑 檸檬,71.9,52.1,33.2,52.3,5169
103/03/27,F1 雜柑 檸檬,66.8,53.0,35.6,52.3,4657
103/03/28,F1 雜柑 檸檬,69.7,56.1,38.3,55.3,4731
103/03/29,F1 雜柑 檸檬,67.1,54.2,18.7,49.7,4031
103/03/30,F1 雜柑 檸檬,71.7,60.0,14.8,53.3,4032
103/04/01,F1 雜柑 檸檬,72.4,66.3,36.5,61.6,4990
103/04/02,F1 雜柑 檸檬,83.8,71.5,45.2,68.7,4276
103/04/03,F1 雜柑 檸檬,76.2,70.0,50.3,67.3,6305
103/04/04,F1 雜柑 檸檬,82.7,72.6,26.1,65.3,5659
103/04/08,F1 雜柑 檸檬,74.1,65.6,49.0,64.0,8608
103/04/09,F1 雜柑 檸檬,72.0,63.3,25.5,57.5,6497
103/04/10,F1 雜柑 檸檬,67.6,60.3,32.5,56.2,6069
103/04/11,F1 雜柑 檸檬,70.0,58.5,36.9,56.5,5569
103/04/12,F1 雜柑 檸檬,69.6,58.1,39.9,56.8,6699
103/04/13,F1 雜柑 檸檬,65.4,55.9,35.9,53.8,5144
103/04/15,F1 雜柑 檸檬,69.4,57.8,42.6,57.1,4836
103/04/16,F1 雜柑 檸檬,70.4,59.4,32.8,56.3,5835
103/04/17,F1 雜柑 檸檬,70.2,62.8,42.2,60.2,6342
103/04/18,F1 雜柑 檸檬,68.4,60.4,36.9,57.3,6099
103/04/19,F1 雜柑 檸檬,69.5,64.7,50.3,62.8,5800
103/04/20,F1 雜柑 檸檬,71.2,66.8,45.2,63.4,3821
103/04/22,F1 雜柑 檸檬,71.3,64.8,51.3,63.4,6822
103/04/23,F1 雜柑 檸檬,70.8,65.0,45.8,62.3,5989
103/04/24,F1 雜柑 檸檬,65.0,59.1,43.3,57.1,5700
103/04/25,F1 雜柑 檸檬,67.1,57.3,40.8,56.0,5984
103/04/26,F1 雜柑 檸檬,60.7,55.5,42.4,53.9,8025
103/04/27,F1 雜柑 檸檬,65.1,57.7,38.9,55.4,5712
103/04/29,F1 雜柑 檸檬,65.3,58.9,45.1,57.5,7071
103/04/30,F1 雜柑 檸檬,67.4,58.6,42.6,57.2,6231
103/05/01,F1 雜柑 檸檬,63.6,56.9,38.3,54.5,6925
103/05/02,F1 雜柑 檸檬,64.6,57.4,40.6,55.5,5809
103/05/03,F1 雜柑 檸檬,64.5,58.6,36.1,55.3,4962
103/05/04,F1 雜柑 檸檬,62.3,56.1,36.3,53.4,7071
103/05/06,F1 雜柑 檸檬,68.7,57.6,40.8,56.4,4968
103/05/07,F1 雜柑 檸檬,68.3,61.1,39.9,58.3,4472
103/05/08,F1 雜柑 檸檬,68.7,62.6,41.5,59.6,5142
103/05/09,F1 雜柑 檸檬,63.0,58.5,41.8,56.1,8839
103/05/10,F1 雜柑 檸檬,60.7,53.5,29.2,50.1,8212
103/05/11,F1 雜柑 檸檬,61.7,53.5,32.3,50.9,4846
