日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
088/01/01,A1 香蕉,25.0,20.0,15.0,16.0,23809
088/01/02,A1 香蕉,24.0,18.0,12.0,15.5,22611
088/01/03,A1 香蕉,21.3,14.0,13.7,15.4,27077
088/01/05,A1 香蕉,24.0,20.0,14.0,15.1,21293
088/01/06,A1 香蕉,18.8,14.0,14.0,15.0,17361
088/01/07,A1 香蕉,25.0,20.0,14.0,16.0,13790
088/01/08,A1 香蕉,24.0,19.0,14.0,15.2,17936
088/01/09,A1 香蕉,23.0,19.0,14.0,15.9,15659
088/01/10,A1 香蕉,25.0,20.0,15.0,16.1,18740
088/01/11,A1 香蕉,23.0,19.0,14.0,15.7,23969
088/01/13,A1 香蕉,19.4,15.0,14.9,15.9,25918
088/01/14,A1 香蕉,22.0,18.0,13.0,15.7,16060
088/01/15,A1 香蕉,24.0,20.0,15.0,16.0,14140
088/01/16,A1 香蕉,26.0,20.0,15.0,16.3,24115
088/01/17,A1 香蕉,21.3,15.0,15.0,16.3,33196
088/01/18,A1 香蕉,22.5,15.0,15.0,16.5,25320
088/01/20,A1 香蕉,27.0,23.0,16.0,17.0,15259
088/01/22,A1 香蕉,25.0,20.0,16.0,16.6,15755
088/01/23,A1 香蕉,24.0,20.0,15.0,16.4,21244
088/01/24,A1 香蕉,25.0,20.0,15.0,15.8,18368
088/01/25,A1 香蕉,25.0,20.0,13.0,16.5,14182
088/01/27,A1 香蕉,25.0,20.0,13.0,15.9,23076
088/01/28,A1 香蕉,23.0,19.0,12.0,15.8,23699
088/01/29,A1 香蕉,25.0,20.0,15.0,16.4,19258
088/01/30,A1 香蕉,25.0,20.0,14.0,16.7,25710
088/01/31,A1 香蕉,25.0,20.0,14.0,15.8,25127
088/02/01,A1 香蕉,25.0,20.0,14.0,16.0,21464
088/02/03,A1 香蕉,24.0,20.0,15.0,16.0,22671
088/02/04,A1 香蕉,24.0,20.0,15.0,15.9,15978
088/02/05,A1 香蕉,23.0,19.0,15.0,16.7,11480
088/02/06,A1 香蕉,23.0,19.0,15.0,16.2,20091
088/02/07,A1 香蕉,23.0,19.0,15.0,16.4,15173
088/02/08,A1 香蕉,25.0,20.0,16.0,17.5,11514
088/02/09,A1 香蕉,25.0,20.0,16.0,16.8,17973
088/02/10,A1 香蕉,26.0,20.0,15.0,15.8,20323
088/02/11,A1 香蕉,23.0,18.0,12.0,16.2,16991
088/02/12,A1 香蕉,22.0,18.0,11.0,15.8,19857
088/02/13,A1 香蕉,22.0,18.0,11.0,14.3,25664
088/02/14,A1 香蕉,20.0,15.0,10.0,13.7,16777
088/02/15,A1 香蕉,15.0,15.0,15.0,15.0,11591
088/02/21,A1 香蕉,17.3,15.0,15.0,15.5,40894
088/02/22,A1 香蕉,24.0,18.0,13.0,16.1,21261
088/02/23,A1 香蕉,25.0,20.0,15.0,17.0,28014
088/02/24,A1 香蕉,25.0,20.0,10.0,16.0,20688
088/02/26,A1 香蕉,24.0,20.0,15.0,16.0,19564
088/02/27,A1 香蕉,25.0,20.0,15.0,15.8,17920
088/02/28,A1 香蕉,25.0,20.0,15.0,16.1,18227
088/03/01,A1 香蕉,30.0,24.0,15.0,16.4,28283
088/03/02,A1 香蕉,24.4,15.2,15.0,17.0,29609
088/03/05,A1 香蕉,30.0,23.0,15.0,16.4,34264
088/03/06,A1 香蕉,28.0,20.0,14.0,16.8,22041
088/03/07,A1 香蕉,27.0,20.0,14.0,17.2,19962
088/03/08,A1 香蕉,23.0,18.0,12.0,16.5,16508
088/03/09,A1 香蕉,24.0,18.0,12.0,16.3,20179
088/03/10,A1 香蕉,24.0,18.0,12.0,16.4,19392
088/03/11,A1 香蕉,26.0,18.0,10.0,15.8,18409
088/03/13,A1 香蕉,25.0,18.0,10.0,15.6,30761
088/03/14,A1 香蕉,24.0,17.0,10.0,15.4,22844
088/03/15,A1 香蕉,23.0,18.0,15.0,15.7,19123
088/03/16,A1 香蕉,18.5,15.0,13.6,15.4,21444
088/03/17,A1 香蕉,25.0,18.0,10.0,15.8,33621
088/03/18,A1 香蕉,25.0,19.0,12.0,15.9,31232
088/03/19,A1 香蕉,28.0,20.0,12.0,15.7,36046
088/03/21,A1 香蕉,27.0,20.0,12.0,16.2,27730
088/03/22,A1 香蕉,25.0,18.0,12.0,16.1,21020
088/03/23,A1 香蕉,23.0,16.0,10.0,14.9,16655
088/03/24,A1 香蕉,22.0,15.0,10.0,14.6,25960
088/03/25,A1 香蕉,21.0,15.0,8.0,14.8,16713
088/03/26,A1 香蕉,20.0,14.0,8.0,14.9,32438
088/03/28,A1 香蕉,20.0,14.0,8.0,14.8,24820
088/03/29,A1 香蕉,20.0,14.0,8.0,14.6,24559
088/03/30,A1 香蕉,20.0,14.0,8.0,13.5,21840
088/03/31,A1 香蕉,20.0,14.0,8.0,13.4,35725
088/04/01,A1 香蕉,20.0,14.0,8.0,13.4,31563
088/04/02,A1 香蕉,18.0,11.0,7.0,12.3,27379
088/04/03,A1 香蕉,18.0,11.0,7.0,11.3,24077
088/04/04,A1 香蕉,18.0,11.0,7.0,11.3,40004
088/04/07,A1 香蕉,18.0,11.0,7.0,11.7,26315
088/04/08,A1 香蕉,18.0,11.0,7.0,11.5,27247
088/04/09,A1 香蕉,16.0,12.0,8.0,11.5,27557
088/04/10,A1 香蕉,16.0,12.0,8.0,11.9,26070
088/04/12,A1 香蕉,15.0,11.0,7.0,11.8,31066
088/04/13,A1 香蕉,15.0,11.0,7.0,11.4,15849
088/04/14,A1 香蕉,15.0,11.0,7.0,11.7,28736
088/04/15,A1 香蕉,18.0,14.0,8.0,12.6,33418
