日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
103/01/01,11 椰子,11.9,8.8,5.3,8.7,1074
103/01/02,11 椰子,11.5,9.2,6.0,9.0,619
103/01/03,11 椰子,12.0,10.7,8.1,10.5,700
103/01/04,11 椰子,17.0,14.2,10.4,14.0,654
103/01/05,11 椰子,12.9,11.5,9.5,11.4,814
103/01/07,11 椰子,13.0,12.2,9.4,11.8,876
103/01/08,11 椰子,14.3,12.1,8.7,11.8,1214
103/01/09,11 椰子,13.7,11.3,7.5,11.0,1215
103/01/10,11 椰子,11.0,8.5,7.0,8.7,333
103/01/11,11 椰子,13.0,10.6,6.9,10.3,633
103/01/12,11 椰子,12.0,11.7,10.2,11.5,376
103/01/14,11 椰子,10.9,10.0,8.3,9.9,998
103/01/15,11 椰子,12.0,11.0,7.7,10.5,547
103/01/16,11 椰子,14.8,12.2,10.3,12.3,1660
103/01/17,11 椰子,13.3,9.5,6.2,9.6,697
103/01/18,11 椰子,12.7,11.4,9.3,11.3,687
103/01/19,11 椰子,10.0,10.0,8.8,9.8,1355
103/01/21,11 椰子,12.0,10.8,6.0,10.1,944
103/01/22,11 椰子,16.0,11.6,7.7,11.7,467
103/01/23,11 椰子,12.6,10.3,8.0,10.3,765
103/01/24,11 椰子,13.0,9.7,7.7,9.9,691
103/01/25,11 椰子,13.6,10.3,7.9,10.5,1237
103/01/26,11 椰子,14.0,11.6,7.4,11.3,915
103/01/28,11 椰子,10.0,10.0,10.0,10.0,1350
103/01/29,11 椰子,21.0,19.5,18.0,19.5,140
103/01/30,11 椰子,19.6,17.6,16.0,17.7,254
103/02/05,11 椰子,18.6,12.9,10.2,13.5,1568
103/02/06,11 椰子,19.0,13.4,12.0,14.2,1368
103/02/07,11 椰子,20.9,12.7,12.0,14.2,1420
103/02/08,11 椰子,20.6,16.3,13.4,16.6,1357
103/02/09,11 椰子,16.6,15.1,14.3,15.2,1638
103/02/11,11 椰子,18.5,15.6,13.0,15.7,608
103/02/12,11 椰子,15.0,13.6,11.5,13.5,253
103/02/13,11 椰子,16.7,14.7,8.5,13.8,669
103/02/14,11 椰子,14.4,12.3,10.3,12.3,1045
103/02/18,11 椰子,17.1,14.2,9.1,13.8,1649
103/02/19,11 椰子,15.3,13.1,9.7,12.9,1804
103/02/20,11 椰子,15.0,13.4,9.1,12.9,1119
103/02/21,11 椰子,14.3,11.4,8.3,11.4,566
103/02/22,11 椰子,15.0,13.1,9.2,12.7,816
103/02/23,11 椰子,14.0,13.1,10.4,12.7,1114
103/02/25,11 椰子,16.6,14.3,10.1,13.9,1516
103/02/26,11 椰子,15.9,13.1,9.6,13.0,2234
103/02/27,11 椰子,16.1,13.2,8.8,12.9,1708
103/02/28,11 椰子,15.6,11.2,8.0,11.4,1488
103/03/01,11 椰子,16.6,13.6,7.1,12.9,1423
103/03/02,11 椰子,15.0,11.4,6.1,11.1,1376
103/03/04,11 椰子,15.0,14.4,9.9,13.6,1445
103/03/05,11 椰子,13.9,10.1,6.0,10.1,865
103/03/06,11 椰子,15.0,10.7,5.2,10.4,1299
103/03/07,11 椰子,15.0,12.4,6.1,11.7,1450
