日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
108/01/01,A1 香蕉,33.9,26.8,17.6,26.4,20807
108/01/02,A1 香蕉,33.2,26.3,19.2,26.3,15808
108/01/03,A1 香蕉,32.8,27.5,21.1,27.3,17444
108/01/04,A1 香蕉,34.3,27.1,18.7,26.9,19066
108/01/05,A1 香蕉,41.1,28.6,20.3,29.4,20539
108/01/06,A1 香蕉,41.5,31.9,22.9,32.0,19815
108/01/08,A1 香蕉,42.3,31.7,23.6,32.2,23153
108/01/09,A1 香蕉,37.5,28.2,20.2,28.4,18404
108/01/10,A1 香蕉,35.0,27.1,19.1,27.1,18278
108/01/11,A1 香蕉,33.7,27.1,17.8,26.6,19868
108/01/12,A1 香蕉,32.6,27.1,20.2,26.8,19402
108/01/13,A1 香蕉,32.1,24.7,17.3,24.7,18528
108/01/15,A1 香蕉,33.6,24.6,16.5,24.8,21725
108/01/16,A1 香蕉,33.6,25.9,18.2,25.9,18191
108/01/17,A1 香蕉,32.4,26.8,21.3,26.8,18597
108/01/18,A1 香蕉,35.4,27.8,20.1,27.8,16382
108/01/19,A1 香蕉,38.0,29.5,19.9,29.3,20877
108/01/20,A1 香蕉,39.6,33.8,24.5,33.1,19308
108/01/22,A1 香蕉,42.5,33.1,23.3,33.0,21530
108/01/23,A1 香蕉,36.7,29.1,22.5,29.3,18827
108/01/24,A1 香蕉,36.3,29.3,21.0,29.1,16614
108/01/25,A1 香蕉,33.6,25.9,18.3,25.9,20415
108/01/26,A1 香蕉,31.8,23.1,16.8,23.6,20780
108/01/27,A1 香蕉,31.7,24.4,16.0,24.2,15831
108/01/29,A1 香蕉,32.5,26.0,17.4,25.6,19260
108/01/30,A1 香蕉,33.8,26.7,19.3,26.6,17125
108/01/31,A1 香蕉,33.3,26.5,15.0,25.6,17821
108/02/01,A1 香蕉,33.3,24.2,13.8,24.0,17049
108/02/02,A1 香蕉,32.5,22.4,14.3,22.8,21512
108/02/03,A1 香蕉,35.1,24.0,15.6,24.6,16964
108/02/04,A1 香蕉,33.1,27.8,21.5,27.6,12630
108/02/10,A1 香蕉,32.7,25.4,15.7,24.9,27798
