日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
088/01/01,71 小番茄 ㄧ般,18.0,13.0,6.0,13.3,5317
088/01/02,71 小番茄 ㄧ般,16.0,10.0,3.0,10.4,4355
088/01/03,71 小番茄 ㄧ般,16.0,10.0,5.0,10.9,4405
088/01/05,71 小番茄 ㄧ般,16.0,10.0,5.0,11.8,6910
088/01/06,71 小番茄 ㄧ般,17.0,12.0,6.0,11.9,7158
088/01/07,71 小番茄 ㄧ般,15.0,11.0,6.0,11.7,7947
088/01/08,71 小番茄 ㄧ般,20.0,12.0,6.0,12.2,5429
088/01/09,71 小番茄 ㄧ般,22.0,12.0,6.0,11.9,5801
088/01/10,71 小番茄 ㄧ般,17.0,12.0,6.0,12.5,6910
088/01/11,71 小番茄 ㄧ般,25.0,10.5,7.8,12.8,6263
088/01/13,71 小番茄 ㄧ般,13.0,10.0,5.0,12.0,5478
088/01/14,71 小番茄 ㄧ般,14.0,10.0,5.0,10.2,6585
088/01/15,71 小番茄 ㄧ般,13.0,9.0,5.0,9.9,5656
088/01/16,71 小番茄 ㄧ般,14.0,10.0,6.0,11.4,3795
088/01/17,71 小番茄 ㄧ般,18.0,13.0,7.0,13.4,4412
088/01/18,71 小番茄 ㄧ般,20.0,14.0,8.0,16.1,4089
088/01/20,71 小番茄 ㄧ般,27.0,20.0,10.0,18.2,7952
088/01/21,71 小番茄 ㄧ般,27.0,20.0,10.0,20.1,7266
088/01/22,71 小番茄 ㄧ般,25.0,20.0,10.0,21.7,5634
088/01/23,71 小番茄 ㄧ般,28.0,22.0,13.0,24.5,5922
088/01/24,71 小番茄 ㄧ般,28.0,23.0,15.0,22.9,7409
088/01/25,71 小番茄 ㄧ般,25.0,18.0,10.0,18.7,10070
088/01/27,71 小番茄 ㄧ般,25.0,18.0,10.0,16.9,11126
088/01/28,71 小番茄 ㄧ般,23.0,15.0,7.0,15.8,9001
088/01/29,71 小番茄 ㄧ般,20.0,14.0,7.0,15.3,9295
088/01/30,71 小番茄 ㄧ般,18.0,13.0,7.0,14.1,8912
088/01/31,71 小番茄 ㄧ般,16.0,11.0,5.0,11.2,9000
088/02/01,71 小番茄 ㄧ般,16.0,11.0,5.0,7.9,11075
088/02/03,71 小番茄 ㄧ般,11.0,7.0,4.0,8.1,8174
088/02/04,71 小番茄 ㄧ般,10.0,7.0,4.0,6.2,10239
088/02/05,71 小番茄 ㄧ般,9.0,6.0,4.0,5.9,7703
088/02/06,71 小番茄 ㄧ般,9.0,6.0,4.0,7.2,6748
088/02/07,71 小番茄 ㄧ般,12.0,8.0,4.0,8.7,6266
088/02/08,71 小番茄 ㄧ般,13.0,9.0,5.0,9.2,6863
088/02/09,71 小番茄 ㄧ般,13.0,9.0,5.0,10.2,5974
088/02/10,71 小番茄 ㄧ般,16.0,10.0,5.0,11.7,6752
088/02/11,71 小番茄 ㄧ般,15.0,10.0,5.0,9.7,8536
088/02/12,71 小番茄 ㄧ般,13.0,9.0,4.0,9.5,10060
088/02/13,71 小番茄 ㄧ般,16.0,10.0,5.0,12.1,3726
088/02/14,71 小番茄 ㄧ般,18.0,12.0,6.0,10.6,16726
088/02/15,71 小番茄 ㄧ般,26.0,17.0,10.0,19.2,5588
088/02/21,71 小番茄 ㄧ般,18.0,13.0,6.0,13.1,11193
088/02/22,71 小番茄 ㄧ般,14.0,9.0,4.0,10.0,11310
088/02/23,71 小番茄 ㄧ般,13.0,8.0,4.0,8.4,12188
088/02/24,71 小番茄 ㄧ般,12.0,8.0,4.0,8.6,9774
088/02/26,71 小番茄 ㄧ般,17.0,13.0,6.0,11.5,7313
088/02/27,71 小番茄 ㄧ般,18.0,13.0,7.0,14.4,8217
088/02/28,71 小番茄 ㄧ般,20.0,14.0,7.0,15.5,7636
088/03/01,71 小番茄 ㄧ般,18.0,13.0,6.0,13.8,11506
088/03/02,71 小番茄 ㄧ般,15.0,11.0,5.0,11.7,12877
088/03/05,71 小番茄 ㄧ般,15.0,10.0,5.0,10.1,14020
088/03/06,71 小番茄 ㄧ般,14.5,10.2,6.1,10.2,14689
088/03/07,71 小番茄 ㄧ般,13.0,8.0,4.0,9.6,10866
088/03/08,71 小番茄 ㄧ般,13.0,8.0,4.0,9.3,9450
088/03/09,71 小番茄 ㄧ般,13.0,8.0,4.0,8.1,11248
088/03/10,71 小番茄 ㄧ般,11.5,8.0,5.1,8.1,8164
088/03/11,71 小番茄 ㄧ般,12.0,8.0,4.0,7.7,12330
088/03/13,71 小番茄 ㄧ般,11.0,7.0,4.0,7.4,12843
088/03/14,71 小番茄 ㄧ般,11.0,7.0,4.0,7.1,11664
088/03/15,71 小番茄 ㄧ般,10.0,6.0,3.0,5.9,13350
088/03/16,71 小番茄 ㄧ般,10.0,6.0,3.0,7.0,8286
088/03/17,71 小番茄 ㄧ般,14.0,9.0,4.0,7.7,8408
088/03/18,71 小番茄 ㄧ般,14.0,10.0,5.0,10.4,5958
088/03/19,71 小番茄 ㄧ般,15.0,11.0,6.0,11.6,8685
088/03/21,71 小番茄 ㄧ般,16.0,12.0,6.0,10.2,12209
088/03/22,71 小番茄 ㄧ般,13.0,8.0,4.0,7.1,10036
088/03/23,71 小番茄 ㄧ般,11.0,7.0,3.0,6.5,12146
088/03/24,71 小番茄 ㄧ般,11.0,7.0,3.0,8.0,8590
088/03/25,71 小番茄 ㄧ般,14.0,9.0,3.0,9.5,8652
088/03/26,71 小番茄 ㄧ般,13.0,8.0,3.0,8.4,11817
088/03/28,71 小番茄 ㄧ般,13.0,8.0,3.0,8.0,14526
088/03/29,71 小番茄 ㄧ般,13.0,8.0,3.0,7.5,10696
088/03/30,71 小番茄 ㄧ般,10.0,6.0,3.0,7.1,8624
088/03/31,71 小番茄 ㄧ般,9.0,6.0,3.0,6.1,5744
088/04/01,71 小番茄 ㄧ般,9.0,6.0,3.0,6.3,8602
088/04/02,71 小番茄 ㄧ般,10.0,7.0,3.0,7.2,7018
088/04/03,71 小番茄 ㄧ般,14.0,10.0,5.0,9.2,7308
088/04/04,71 小番茄 ㄧ般,14.0,10.0,5.0,8.8,7277
088/04/07,71 小番茄 ㄧ般,14.0,10.0,5.0,11.0,7800
088/04/08,71 小番茄 ㄧ般,15.0,11.0,5.0,10.1,10413
088/04/09,71 小番茄 ㄧ般,12.0,7.0,4.0,8.1,11312
088/04/10,71 小番茄 ㄧ般,13.0,9.0,5.0,10.6,7851
088/04/12,71 小番茄 ㄧ般,13.0,9.0,5.0,9.3,10466
088/04/13,71 小番茄 ㄧ般,13.0,8.0,4.0,8.9,6292
088/04/14,71 小番茄 ㄧ般,14.0,9.0,5.0,8.8,6149
088/04/15,71 小番茄 ㄧ般,13.0,8.0,4.0,8.1,5920
088/04/16,71 小番茄 ㄧ般,14.0,8.0,4.0,8.5,6828
088/04/17,71 小番茄 ㄧ般,13.0,8.0,4.0,10.3,5839
088/04/19,71 小番茄 ㄧ般,15.0,11.0,5.0,10.3,6337
088/04/20,71 小番茄 ㄧ般,13.0,9.0,5.0,8.9,8090
088/04/21,71 小番茄 ㄧ般,11.0,7.0,4.0,7.4,9014
088/04/22,71 小番茄 ㄧ般,8.0,6.0,4.0,6.3,7352
088/04/23,71 小番茄 ㄧ般,9.0,6.0,4.0,6.6,5838
088/04/24,71 小番茄 ㄧ般,10.0,7.0,4.0,7.1,6492
088/04/26,71 小番茄 ㄧ般,10.0,7.0,4.0,8.4,6301
088/04/27,71 小番茄 ㄧ般,14.0,10.0,5.0,10.7,5293
088/04/28,71 小番茄 ㄧ般,14.0,11.0,7.0,10.5,6786
088/04/29,71 小番茄 ㄧ般,13.0,10.0,7.0,9.8,6450
088/04/30,71 小番茄 ㄧ般,13.0,10.0,6.0,9.3,7161
088/05/01,71 小番茄 ㄧ般,15.0,11.0,6.0,11.6,4383
088/05/03,71 小番茄 ㄧ般,16.0,12.0,7.0,13.2,3871
088/05/04,71 小番茄 ㄧ般,24.0,19.0,12.0,15.4,2373
088/05/05,71 小番茄 ㄧ般,25.0,19.0,10.0,17.8,2736
088/05/06,71 小番茄 ㄧ般,26.0,19.0,10.0,20.4,3360
088/05/07,71 小番茄 ㄧ般,30.0,23.0,13.0,23.3,2456
088/05/08,71 小番茄 ㄧ般,33.0,23.0,13.0,26.9,4338
088/05/09,71 小番茄 ㄧ般,33.0,26.0,13.0,23.4,5206
088/05/11,71 小番茄 ㄧ般,25.0,18.0,10.0,18.6,4143
088/05/12,71 小番茄 ㄧ般,23.0,15.0,7.0,14.6,4233
088/05/13,71 小番茄 ㄧ般,20.0,14.0,6.0,12.1,4072
088/05/14,71 小番茄 ㄧ般,18.0,12.0,6.0,10.8,3498
088/05/15,71 小番茄 ㄧ般,18.0,12.0,6.0,12.4,2832
088/05/16,71 小番茄 ㄧ般,20.0,14.0,7.0,14.1,2692
088/05/18,71 小番茄 ㄧ般,18.0,13.0,7.0,13.9,4514
088/05/19,71 小番茄 ㄧ般,18.0,12.0,6.0,12.1,3905
088/05/20,71 小番茄 ㄧ般,15.0,10.0,5.0,10.1,4672
088/05/21,71 小番茄 ㄧ般,15.0,10.0,5.0,9.3,3871
088/05/22,71 小番茄 ㄧ般,17.0,12.0,6.0,12.4,2862
088/05/23,71 小番茄 ㄧ般,25.0,18.0,8.0,18.4,2825
088/05/25,71 小番茄 ㄧ般,25.0,18.0,8.0,18.0,4210
088/05/26,71 小番茄 ㄧ般,18.0,13.0,6.0,12.8,5980
088/05/27,71 小番茄 ㄧ般,14.0,9.0,5.0,8.8,3778
088/05/28,71 小番茄 ㄧ般,10.0,7.0,4.0,7.5,2812
088/05/29,71 小番茄 ㄧ般,10.0,7.0,4.0,9.2,1223
088/05/30,71 小番茄 ㄧ般,15.0,10.0,4.0,10.0,2034
088/06/01,71 小番茄 ㄧ般,15.0,11.0,6.0,10.8,3443
088/06/02,71 小番茄 ㄧ般,15.0,10.0,5.0,10.7,3264
088/06/03,71 小番茄 ㄧ般,15.0,10.0,5.0,10.0,2751
088/06/04,71 小番茄 ㄧ般,16.0,10.0,5.0,8.8,2376
088/06/05,71 小番茄 ㄧ般,15.0,10.0,5.0,9.3,2485
088/06/06,71 小番茄 ㄧ般,21.0,17.0,11.0,16.6,1642
088/06/07,71 小番茄 ㄧ般,25.0,20.0,15.0,19.9,1614
088/06/09,71 小番茄 ㄧ般,26.0,20.0,15.0,17.2,3007
088/06/10,71 小番茄 ㄧ般,24.0,18.0,10.0,13.5,3724
088/06/11,71 小番茄 ㄧ般,22.0,14.0,8.0,11.7,2049
088/06/12,71 小番茄 ㄧ般,20.0,14.0,7.0,11.0,3240
088/06/13,71 小番茄 ㄧ般,16.0,10.0,4.0,11.0,2697
088/06/14,71 小番茄 ㄧ般,14.0,8.0,4.0,8.5,3430
088/06/15,71 小番茄 ㄧ般,9.0,6.0,3.0,5.9,3181
088/06/16,71 小番茄 ㄧ般,10.0,7.0,3.0,8.4,2415
088/06/17,71 小番茄 ㄧ般,11.0,8.0,4.0,6.8,1973
