日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
098/05/10,11 椰子,12.1,8.8,8.0,9.3,3272
098/05/12,11 椰子,12.1,9.2,7.6,9.4,5504
098/05/13,11 椰子,11.1,8.8,6.8,8.8,4645
098/05/14,11 椰子,13.5,10.0,7.5,10.2,3902
098/05/15,11 椰子,11.2,9.3,7.6,9.4,4326
098/05/16,11 椰子,14.1,10.1,9.0,10.7,4056
098/05/17,11 椰子,11.7,8.9,6.9,9.1,5915
098/05/19,11 椰子,12.0,9.7,7.5,9.7,5987
098/05/20,11 椰子,11.8,8.3,6.0,8.6,4869
098/05/21,11 椰子,13.7,8.3,6.9,9.1,3080
098/05/22,11 椰子,13.4,7.9,5.3,8.5,3551
098/05/23,11 椰子,13.5,9.8,8.0,10.2,2885
098/05/24,11 椰子,13.8,9.7,7.1,10.0,5247
098/05/26,11 椰子,12.0,8.9,7.1,9.2,5813
098/05/27,11 椰子,13.1,8.0,6.6,8.7,2851
098/05/28,11 椰子,13.8,9.9,8.1,10.3,2520
098/05/31,11 椰子,12.9,8.2,7.7,9.0,3782
098/06/02,11 椰子,15.3,9.9,8.7,10.7,5322
098/06/03,11 椰子,12.3,8.7,6.4,9.0,4653
098/06/04,11 椰子,11.3,8.0,7.3,8.5,4947
098/06/05,11 椰子,9.3,6.5,5.0,6.7,3206
098/06/06,11 椰子,14.1,9.8,7.0,10.1,3380
098/06/07,11 椰子,12.7,9.1,6.7,9.3,3511
098/06/09,11 椰子,13.3,8.3,5.9,8.8,5795
098/06/10,11 椰子,12.8,8.1,5.4,8.5,5181
098/06/11,11 椰子,13.4,9.9,7.4,10.1,3673
098/06/12,11 椰子,11.9,8.9,7.3,9.2,4015
098/06/13,11 椰子,16.7,12.2,8.2,12.3,1721
098/06/14,11 椰子,12.6,8.1,6.9,8.8,3175
098/06/16,11 椰子,14.6,10.4,8.7,10.9,3216
098/06/17,11 椰子,15.4,9.3,7.1,10.1,4516
098/06/18,11 椰子,14.1,10.1,8.0,10.4,2923
098/06/19,11 椰子,11.4,8.5,7.6,8.9,5711
098/06/20,11 椰子,12.6,8.7,7.0,9.1,3318
098/06/21,11 椰子,14.0,9.1,5.5,9.4,4565
098/06/23,11 椰子,15.9,10.1,8.0,10.8,3086
098/06/24,11 椰子,16.3,10.2,8.2,11.0,4467
098/06/25,11 椰子,14.8,10.9,9.6,11.4,4693
098/06/26,11 椰子,15.2,9.7,7.5,10.4,5785
098/06/27,11 椰子,12.7,8.5,6.6,9.0,6752
098/06/28,11 椰子,14.8,9.7,7.4,10.3,3605
098/06/30,11 椰子,13.4,8.7,6.3,9.1,6572
098/07/01,11 椰子,14.4,9.6,7.6,10.2,3489
098/07/02,11 椰子,14.4,10.2,7.7,10.5,4227
098/07/03,11 椰子,14.0,8.6,5.3,9.0,2855
098/07/04,11 椰子,12.9,9.8,8.1,10.0,3849
098/07/05,11 椰子,14.8,9.9,9.0,10.7,3574
098/07/07,11 椰子,17.9,10.6,8.2,11.6,4561
098/07/08,11 椰子,15.6,10.2,6.7,10.6,3001
098/07/09,11 椰子,14.6,9.8,7.7,10.4,4128
098/07/10,11 椰子,14.7,10.3,8.5,10.9,3759
098/07/11,11 椰子,20.0,11.8,10.0,13.1,2827
098/07/12,11 椰子,18.7,13.4,11.7,14.1,4605
098/07/14,11 椰子,19.0,15.1,11.4,15.2,3600
098/07/15,11 椰子,19.7,13.5,11.4,14.3,3187
098/07/16,11 椰子,20.2,13.8,12.0,14.7,3698
098/07/17,11 椰子,20.8,14.6,12.5,15.4,3620
098/07/18,11 椰子,21.4,15.2,10.4,15.5,4170
098/07/19,11 椰子,22.2,16.2,12.8,16.7,4109
098/07/21,11 椰子,21.6,15.3,10.9,15.7,4830
098/07/22,11 椰子,19.2,14.3,10.7,14.6,5132
098/07/23,11 椰子,17.4,14.5,11.8,14.5,3316
098/07/24,11 椰子,20.6,13.7,11.4,14.6,2940
098/07/25,11 椰子,19.3,14.7,11.5,15.0,3992
098/07/26,11 椰子,18.0,15.2,11.8,15.1,4906
098/07/28,11 椰子,19.9,14.5,11.1,14.9,3952
098/07/29,11 椰子,21.0,14.3,10.0,14.8,3439
098/07/30,11 椰子,21.0,14.2,10.5,14.8,3643
098/07/31,11 椰子,19.0,15.1,10.4,14.9,4034
098/08/01,11 椰子,19.3,13.5,9.7,13.9,4145
098/08/02,11 椰子,18.1,13.9,10.6,14.1,3236
098/08/04,11 椰子,22.0,14.9,11.3,15.6,3406
098/08/05,11 椰子,20.6,13.6,8.9,14.1,3865
098/08/06,11 椰子,23.2,16.4,11.1,16.7,3201
098/08/07,11 椰子,16.2,15.0,13.3,14.9,2309
098/08/11,11 椰子,20.0,16.0,15.0,16.6,1602
098/08/12,11 椰子,16.4,14.7,11.4,14.4,2208
